shift_app,shift_dis,chi2_sm_total,chi2_geo_total,delta_total,pos_channels,lock_ok,delta_T2K_app_FHC,delta_T2K_app_RHC,delta_T2K_dis_FHC,delta_T2K_dis_RHC
2,6,8970.606398511047,8969.496971802964,1.1094267080825375,4,True,0.8907638572184169,0.12721026435883687,0.04778940429696377,0.043663182209002116
3,6,9064.12597822897,9062.936298431126,1.189679797844292,4,True,0.5885826894959791,0.5096445218432564,0.04778940429696377,0.043663182209002116
4,5,9139.885340304927,9139.159322444411,0.7260178605156398,4,True,0.23041497683607304,0.4227872528182388,0.03746743645024253,0.03534819441142645
-4,8,9257.54894755549,9256.551981114842,0.9969664406471566,4,True,0.772932778574841,0.1162620863731263,0.059050432704680134,0.04872114299405439
1,6,9268.210293587423,9267.49025546769,0.7200381197326351,4,True,0.40855707238051764,0.22002846084706107,0.04778940429696377,0.043663182209002116
2,7,9458.0922364209,9456.978291762292,1.1139446586075792,4,True,0.8907638572184169,0.12721026435883687,0.05285546815866837,0.043115068870292816
3,7,9551.611816138824,9550.417618390455,1.1941977483693336,4,True,0.5885826894959791,0.5096445218432564,0.05285546815866837,0.043115068870292816
-4,9,9639.441738873444,9638.445685056591,0.996053816852509,4,True,0.772932778574841,0.1162620863731263,0.056391267498838715,0.05046768440524829
1,7,9755.696131497276,9754.97157542702,0.7245560702558578,4,True,0.40855707238051764,0.22002846084706107,0.05285546815866837,0.043115068870292816
-4,10,9987.05958574447,9986.067569748011,0.9920159964585764,4,True,0.772932778574841,0.1162620863731263,0.057377177166017646,0.045443954344591475
-4,11,9989.007262405985,9988.02846627756,0.9787961284255289,4,True,0.772932778574841,0.1162620863731263,0.04959775226689089,0.04000351121112544
-4,12,10068.714672413273,10067.751381394726,0.9632910185464425,4,True,0.772932778574841,0.1162620863731263,0.03997173667357856,0.03412441692489665
4,6,10149.083304443639,10148.33864962748,0.7446548161587998,4,True,0.23041497683607304,0.4227872528182388,0.04778940429696377,0.043663182209002116
2,8,10270.678340922477,10269.552595225203,1.1257456972743967,4,True,0.8907638572184169,0.12721026435883687,0.059050432704680134,0.04872114299405439
3,8,10364.197920640403,10362.991921853365,1.20599878703797,4,True,0.5885826894959791,0.5096445218432564,0.059050432704680134,0.04872114299405439
1,8,10568.282235998855,10567.545878889929,0.7363571089263132,4,True,0.40855707238051764,0.22002846084706107,0.059050432704680134,0.04872114299405439
4,7,10636.569142353492,10635.819969586808,0.7491727666838415,4,True,0.23041497683607304,0.4227872528182388,0.05285546815866837,0.043115068870292816
2,9,10652.571132240433,10651.446299166952,1.1248330734815681,4,True,0.8907638572184169,0.12721026435883687,0.056391267498838715,0.05046768440524829
3,9,10746.090711958357,10744.885625795114,1.2050861632433225,4,True,0.5885826894959791,0.5096445218432564,0.056391267498838715,0.05046768440524829
1,9,10950.175027316809,10949.439582831677,0.7354444851316657,4,True,0.40855707238051764,0.22002846084706107,0.056391267498838715,0.05046768440524829
2,10,11000.188979111457,10999.06818385837,1.1207952530876355,4,True,0.8907638572184169,0.12721026435883687,0.057377177166017646,0.045443954344591475
2,11,11002.136655772974,11001.029080387918,1.107575385056407,4,True,0.8907638572184169,0.12721026435883687,0.04959775226689089,0.04000351121112544
2,12,11081.844065780262,11080.751995505087,1.0920702751755016,4,True,0.8907638572184169,0.12721026435883687,0.03997173667357856,0.03412441692489665
3,10,11093.708558829383,11092.507510486532,1.2010483428512089,4,True,0.5885826894959791,0.5096445218432564,0.057377177166017646,0.045443954344591475
3,11,11095.656235490897,11094.46840701608,1.1878284748163424,4,True,0.5885826894959791,0.5096445218432564,0.04959775226689089,0.04000351121112544
3,12,11175.363645498186,11174.191322133249,1.172323364937256,4,True,0.5885826894959791,0.5096445218432564,0.03997173667357856,0.03412441692489665
