group,sqrt_s_GeV,cos_lo,cos_hi,cos_ctr,obs_pb,stat_pb,sys1_frac,sys2_frac,pred0_pb,beta_sm,pred_sm,delta,beta_geo,pred_geo
1,192.0,-0.6,-0.4,-0.5,0.4,0.4499999999999999,0.0108,0.0032,0.5375719482323486,0.88512068793054,0.475816052631577,-0.013086572255666257,0.88512068793054,0.46958925147840797
1,192.0,-0.4,-0.2,-0.3,0.5,0.4499999999999999,0.0108,0.0032,0.6885113240644578,0.88512068793054,0.6094156168038999,-0.010191953313327645,0.88512068793054,0.6032044812890217
1,192.0,-0.2,0.0,-0.1,1.9,0.7,0.0108,0.0032,0.9252228068189495,0.88512068793054,0.8189338472606137,-0.006841956323816539,0.88512068793054,0.8133307376455615
1,192.0,0.0,0.2,0.1,0.8,0.5,0.0108,0.0032,1.2477063964958237,0.88512068793054,1.1043707440017185,-0.0028593399236489236,0.88512068793054,1.1012129726428845
1,192.0,0.2,0.4,0.3,2.0,0.8,0.0108,0.0032,1.6559620930950802,0.88512068793054,1.4657263070272144,0.0020644854454550943,0.88512068793054,1.4687522776550925
1,192.0,0.4,0.6,0.5,1.9,0.8,0.0108,0.0032,2.1499898966167192,0.88512068793054,1.9030005363371012,0.00854550171992599,0.88512068793054,1.9192626306933902
1,192.0,0.6,0.8,0.7,2.7,0.9,0.0108,0.0032,2.7297898070607403,0.88512068793054,2.4161934319313785,0.01814139711248089,0.88512068793054,2.4600265564806136
1,192.0,0.8,1.0,0.9,1.9,1.1,0.0108,0.0032,3.3953618244271433,0.88512068793054,3.0053049938100465,0.03778433683468041,0.88512068793054,3.1188584499871124
2,196.0,-1.0,-0.8,-0.9,0.19,0.29,0.0107,0.0026,0.48186208615346005,1.0720103841073987,0.5165611600641632,-0.017961086608083682,1.0720103841073987,0.5072831603298785
2,196.0,-0.8,-0.6,-0.7,0.28,0.21,0.0107,0.0026,0.4597977248188374,1.0720103841073987,0.4929079355947499,-0.015674501286397663,1.0720103841073987,0.48518184952419435
2,196.0,-0.6,-0.4,-0.5,0.79,0.3349999999999999,0.0107,0.0026,0.5197095075516567,1.0720103841073987,0.5571339888147185,-0.013118029950904692,1.0720103841073987,0.54982548846278
2,196.0,-0.4,-0.2,-0.3,0.54,0.275,0.0107,0.0026,0.6615974343519178,1.0720103841073987,0.7092393197240688,-0.01021677223186443,1.0720103841073987,0.7019931831365656
2,196.0,-0.2,0.0,-0.1,0.54,0.255,0.0107,0.0026,0.8854615052196207,1.0720103841073987,0.949223928322801,-0.006859025212682807,1.0720103841073987,0.9427131774659531
2,196.0,0.0,0.2,0.1,1.7,0.3,0.0107,0.0026,1.1913017201547655,1.0720103841073987,1.277087814610915,-0.002867099220473568,1.0720103841073987,1.2734262771331677
2,196.0,0.2,0.4,0.3,1.6,0.3,0.0107,0.0026,1.579118079157352,1.0720103841073987,1.6928309785884106,0.0020683852395233515,1.0720103841073987,1.6963324051975308
2,196.0,0.4,0.6,0.5,2.2,0.4,0.0107,0.0026,2.0489105822273808,1.0720103841073987,2.1964534202552883,0.008565011309253995,1.0720103841073987,2.2152660686400245
2,196.0,0.6,0.8,0.7,3.0,0.5,0.0107,0.0026,2.6006792293648515,1.0720103841073987,2.7879551396115483,0.018184605246696767,1.0720103841073987,2.8386530032708834
2,196.0,0.8,1.0,0.9,3.9,0.6,0.0107,0.0026,3.2344240205697634,1.0720103841073987,3.4673361366571886,0.03787851271493281,1.0720103841073987,3.598673672596504
