cos_lo,cos_ctr,cos_hi,group_id,obs_pb,pred_sm,pred_geo,delta,ratio_geo_sm
-0.18,-0.09,0.0,2,3.8,3.6571102427664135,3.6731828139038885,0.004394882863940505,1.0043948828639404
0.0,0.045,0.09,2,5.7,4.930987975143917,4.9461916364624585,0.003083289068069303,1.0030832890680692
0.09,0.135,0.18,2,6.9,6.416395220277833,6.429920077239148,0.002107859085514585,1.0021078590855146
0.18,0.225,0.27,2,7.2,8.578696906232265,8.587546845763686,0.0010316181616106396,1.0010316181616106
0.27,0.315,0.36,2,11.2,11.629422545763639,11.627451026067037,-0.00016952859773078366,0.9998304714022692
0.36,0.405,0.45,2,14.2,17.147992500786465,17.121762233649612,-0.0015296406932560486,0.9984703593067439
0.45,0.495,0.54,2,27.2,27.531741249206785,27.446415337018003,-0.003099183281451201,0.9969008167185488
0.54,0.585,0.63,2,43.8,44.012240620850825,43.794039629353165,-0.004957734221653964,0.9950422657783461
0.63,0.675,0.72,2,79.0,82.94777293554775,82.34705416723376,-0.007242132573960142,0.9927578674260399
0.72,0.765,0.81,2,173.0,181.15857538043016,179.307086085398,-0.010220268574888433,0.9897797314251116
0.81,0.855,0.9,2,578.0,532.0954383549962,524.3557638730507,-0.014545650881490485,0.9854543491185094
-0.9,-0.81,-0.72,3,1.4,1.6916582112584764,1.7077574273188236,0.009516825534379478,1.0095168255343794
-0.72,-0.63,-0.54,3,1.7,1.69397238117812,1.708281505649777,0.008447082508928297,1.0084470825089282
-0.54,-0.45,-0.36,3,1.7,2.054982888642308,2.069900692259667,0.00725933227950859,1.0072593322795087
-0.36,-0.27,-0.18,3,2.8,2.712207145820705,2.7282722249596114,0.005923249322479465,1.0059232493224795
-0.18,-0.09,0.0,3,2.8,3.5337374672937,3.549267829534373,0.004394882863940505,1.0043948828639404
0.0,0.045,0.09,3,3.9,5.040262084980798,5.055802669967623,0.003083289068069303,1.0030832890680692
0.09,0.135,0.18,3,6.4,6.114036927694797,6.12692445598201,0.002107859085514585,1.0021078590855146
0.18,0.225,0.27,3,7.4,8.159763136658535,8.168180896504753,0.0010316181616106396,1.0010316181616106
0.27,0.315,0.36,3,11.9,12.056825281336073,12.054781304653043,-0.00016952859773078366,0.9998304714022692
0.36,0.405,0.45,3,17.1,16.916582112584763,16.890705820194547,-0.0015296406932560486,0.9984703593067441
0.45,0.495,0.54,3,25.1,26.73329091170714,26.650439543455406,-0.003099183281451201,0.9969008167185488
0.54,0.585,0.63,3,41.9,45.25127860868436,45.02693479615248,-0.004957734221653964,0.9950422657783459
0.63,0.675,0.72,3,77.3,81.26439089815693,80.67586340573037,-0.007242132573960142,0.99275786742604
0.72,0.765,0.81,3,174.0,178.0383485977559,176.21874885845725,-0.010220268574888433,0.9897797314251117
0.81,0.855,0.9,3,565.0,522.7200731089499,515.1167694167599,-0.014545650881490485,0.9854543491185094
