group,sqrt_s_GeV,cos_lo,cos_hi,cos_ctr,obs_pb,stat_pb,sys1_frac,sys2_frac,pred_sm_pb,pred_geo_pb,res_sm,res_geo,pull_sm_diag,pull_geo_diag
1,192.0,0.4,0.6,0.5,1.9,0.8,0.0108,0.0032,1.8987143913581288,1.8987143913581288,0.0012856086418711055,0.0012856086418711055,0.0016064360560681028,0.0016064360560681028
1,192.0,0.6,0.8,0.7,2.7,0.9,0.0108,0.0032,2.4107522730261493,2.4107522730261493,0.2892477269738509,0.2892477269738509,0.3212030215525628,0.3212030215525628
1,192.0,0.8,1.0,0.9,1.9,1.1,0.0108,0.0032,2.9985379551743487,2.9985379551743487,-1.0985379551743488,-1.0985379551743488,-0.9984819021491277,-0.9984819021491277
2,196.0,-1.0,-0.8,-0.9,0.19,0.29,0.0107,0.0026,0.5155185205337424,0.5155185205337424,-0.32551852053374236,-0.32551852053374236,-1.1224484475406393,-1.1224484475406393
2,196.0,-0.8,-0.6,-0.7,0.28,0.21,0.0107,0.0026,0.4919128702204217,0.4919128702204217,-0.21191287022042166,-0.21191287022042166,-1.0090001638757582,-1.0090001638757582
2,196.0,-0.6,-0.4,-0.5,0.79,0.3349999999999999,0.0107,0.0026,0.5560097444235909,0.5560097444235909,0.23399025557640918,0.23399025557640918,0.6982430056054293,0.6982430056054293
2,196.0,-0.4,-0.2,-0.3,0.54,0.275,0.0107,0.0026,0.7078091431432499,0.7078091431432499,-0.1678091431432499,-0.1678091431432499,-0.6100724708893056,-0.6100724708893056
2,196.0,-0.2,0.0,-0.1,0.54,0.255,0.0107,0.0026,0.9473110663793991,0.9473110663793991,-0.40731106637939907,-0.40731106637939907,-1.5968642214251987,-1.5968642214251987
2,196.0,0.0,0.2,0.1,1.7,0.3,0.0107,0.0026,1.274515514132038,1.274515514132038,0.42548448586796206,0.42548448586796206,1.4155286359111383,1.4155286359111383
2,196.0,0.2,0.4,0.3,1.6,0.3,0.0107,0.0026,1.6894224864011669,1.6894224864011669,-0.08942248640116679,-0.08942248640116679,-0.29756226674322805,-0.29756226674322805
2,196.0,0.4,0.6,0.5,2.2,0.4,0.0107,0.0026,2.1920319831867854,2.1920319831867854,0.007968016813214795,0.007968016813214795,0.019883610730267603,0.019883610730267603
2,196.0,0.6,0.8,0.7,3.0,0.5,0.0107,0.0026,2.7823440044888947,2.7823440044888947,0.21765599551110526,0.21765599551110526,0.43436502161767077,0.43436502161767077
2,196.0,0.8,1.0,0.9,3.9,0.6,0.0107,0.0026,3.4603585503074927,3.4603585503074927,0.4396414496925072,0.4396414496925072,0.7308660959139225,0.7308660959139225
