setting,scan,tic,g,drift_obs_ppm,drift_state_ppm,residual_ppm,width_obs_ppm
ModeA_points,129,3766821.2320861816,0.028953023585723953,-10.790504882036,-8.127471098058104,-2.6630337839778964,0.0
ModeA_points,130,4148478.5758514404,0.039792648627829684,-5.196189087128637,-7.8813801653431454,2.6851910782145083,0.0
ModeA_points,131,4576936.4203186035,0.05196147612779108,-3.0571607708086916,-7.463162159549587,4.406001388740895,0.0
ModeA_points,132,4802678.1818237305,0.05837287129949005,-10.261580048288247,-7.709797630838832,-2.551782417449415,7.912740750715131
ModeA_points,133,4623404.891983032,0.05328124847686431,-10.729653497239001,-7.972489701244791,-2.7571637959942104,0.0
ModeA_points,134,4653616.053741455,0.0541392895204794,-9.898617843417824,-8.140412133964864,-1.7582057094529606,0.0
ModeA_points,135,5284343.10546875,0.07205285742719772,-10.349333026284196,-8.341891989866319,-2.0074410364178767,6.2749173759675365
ModeA_points,136,6009390.831939697,0.0926452700218056,-9.038742431927195,-8.408681749929032,-0.6300606819981631,0.0
ModeA_points,137,5746353.049942017,0.0851746134882956,-8.846435070886024,-8.449902479731845,-0.3965325911541786,0.0
ModeA_points,138,5801278.318511963,0.08673457119999983,-11.683852041178767,-8.755560123251632,-2.928291917927135,0.0
ModeA_points,139,6351931.8023376465,0.10237393302627415,-11.500513927024922,-9.024659294829862,-2.4758546321950607,0.0
ModeA_points,140,7898415.006500244,0.14629631088924852,-10.289082494712616,-9.161111635968833,-1.1279708587437831,0.0
ModeA_points,141,5392948.256210327,0.0751374020610464,-9.99729480456913,-9.23796181557441,-0.7593329889947196,0.0
ModeA_points,142,4908772.805282593,0.061386113298011094,-13.458804711355725,-9.612822789306055,-3.8459819220496705,0.0
ModeA_points,143,4345291.192054749,0.045382413892537575,-10.781718141648248,-9.712425581584057,-1.0692925600641914,0.0
ModeA_points,144,4607010.428175926,0.05281562180063636,-9.316484097113168,-9.678024793716466,0.36154069660329746,0.0
ModeA_points,145,3722161.989967346,0.027684635993710172,-10.037018849435665,-9.707185537340616,-0.3298333120950492,9.743265595342613
ModeA_points,146,3915703.651786804,0.033181501384670124,-6.611270348812161,-9.451878297525111,2.8406079487129503,3.984646087128872
ModeA_points,147,4300176.6064453125,0.04410109388147277,6.352850279472251,-8.109697345032604,14.462547624504854,2.9600304543591536
ModeA_points,148,7418824.941955566,0.13267525378525888,-1.5733539575329274,-7.424349111973202,5.850995154440274,2.9920410190226763
ModeA_points,149,10588672.856689453,0.22270355639103664,-0.8305027747286383,-6.599404205019775,5.768901430291137,3.550683391086029
ModeA_points,150,17252564.335998535,0.4119677907546805,-1.628546368827564,-5.765827370095728,4.137281001268164,4.7149036220256395
ModeA_points,151,20996363.360229492,0.5182971417251279,-1.9266935067975235,-5.030184606037651,3.103491099240128,2.9358905132157957
ModeA_points,152,35684623.86376953,0.9354651563856073,-2.2242510773129758,-4.22914765575069,2.0048965784377146,2.9032344576441127
ModeA_points,153,55721656.213134766,1.0,-3.786944412735732,-4.096486682846203,0.3095422701104713,3.069843764397704
ModeA_points,154,99951005.55322266,1.0,-2.208116832081669,-3.529975727616843,1.3218588955351742,1.041489262591453
ModeA_points,155,176113554.0283203,1.0,-3.4402271231073165,-3.503051146263985,0.06282402315666857,4.246842190306706
ModeA_points,156,272194480.96875,1.0,-5.188210069073426,-4.0085988231068175,-1.1796112459666084,4.591337258971112
ModeA_points,157,516808238.0097656,1.0,-2.5264436396638232,-3.563952268073919,1.0375086284100958,4.151988924414956
ModeA_points,158,728585238.0585938,1.0,-2.918176342582029,-3.370219490426352,0.4520431478443232,3.7168003096502913
ModeA_points,159,1280941971.609375,1.0,-2.2039105863766366,-3.020326819211437,0.8164162328348006,2.2435988714536412
ModeA_points,160,2131005870.5703125,1.0,0.6295736678618055,-1.9253566730894645,2.55493034095127,2.8565152111294085
ModeA_points,161,3035006919.40625,1.0,-0.6568983599971879,-1.5448191791617816,0.8879208191645936,3.8986645888740474
ModeA_points,162,4332344245.5234375,1.0,0.5587596816757221,-0.9137455209105305,1.4725052025862526,3.909910399215846
ModeA_points,163,5204067046.140625,1.0,-0.4437015696116069,-0.7727323355208534,0.3290307659092465,3.91265928559244
ModeA_points,164,6635384790.234375,1.0,-0.5409783156268206,-0.7032061295526436,0.16222781392582297,5.042686650084548
ModeA_points,165,8172616261.21875,1.0,-1.1498396464212544,-0.8371961846132269,-0.3126434618080275,2.164920928037383
ModeA_points,166,10654048777.9375,1.0,0.12378418294039631,-0.54890207434714,0.6726862572875363,3.4125849243644035
ModeA_points,167,12113886922.625,1.0,-0.3356554342421285,-0.48492808231563655,0.14927264807350804,2.5203015422168025
ModeA_points,168,12503595039.1875,1.0,-0.4671077425514019,-0.4795819803863662,0.012474237834964264,2.258304917860841
ModeA_points,169,13355009514.75,1.0,-1.3031578385942835,-0.7266547378487413,-0.5765031007455421,2.880624405706718
ModeA_points,170,12529628917.59375,1.0,-0.42960682324116634,-0.6375403634664688,0.20793354022530247,2.8351175214840367
ModeA_points,171,11444352886.875,1.0,-1.6790818182532659,-0.950002799902508,-0.7290790183507578,2.1607698586465838
ModeA_points,172,9984058126.46875,1.0,0.10858191545786658,-0.6324273852943956,0.7410093007522621,2.8819896853249287
ModeA_points,173,7968694218.6875,1.0,1.0800533968458985,-0.11868315065230739,1.198736547498206,1.421693762028346
ModeA_points,174,6247932783.0625,1.0,1.5770061119337746,0.3900236281235172,1.1869824838102574,3.504416764932443
ModeA_points,175,4576898721.15625,1.0,2.215919266077291,0.9377923195096493,1.2781269465676415,2.411324044846827
ModeA_points,176,3869148496.75,1.0,0.3441787091952008,0.7597082364153147,-0.4155295272201139,2.264120978729043
ModeA_points,177,3105323527.296875,1.0,2.4167157248349085,1.2568104829411928,1.1599052418937157,3.9582549037983803
ModeA_points,178,2605429512.15625,1.0,0.3555162782312696,0.9864222215282159,-0.6309059432969464,2.7404224891678464
ModeA_points,179,1760150436.6796875,1.0,-0.5858040072399008,0.5147543528977809,-1.1005583601376818,4.162570661967368
ModeA_points,180,1271016531.0859375,1.0,-0.037654273158056126,0.34903176508102984,-0.386686038239086,4.411126801315884
ModeA_points,181,977828168.8242188,1.0,-2.6012427336343635,-0.5360505845335881,-2.0651921491007754,2.773114712730454
ModeA_points,182,661430342.3125,1.0,-2.586785972609953,-1.1512712009564976,-1.4355147716534553,2.5184203588178753
ModeA_points,183,435607030.37109375,1.0,-0.5327104133253241,-0.9657029646671456,0.43299255134182146,2.0037459528447883
ModeA_points,184,383793977.5019531,1.0,-0.7712027575799699,-0.9073529025409929,0.13615014496102296,3.050136167261925
ModeA_points,185,234550424.4423828,1.0,-2.282123150374441,-1.3197839768910273,-0.9623391734834135,3.728673819559243
ModeA_points,186,200201584.53222656,1.0,-2.844896253233857,-1.7773176597938762,-1.0675785934399806,3.059411993300879
ModeA_points,187,183642714.27246094,1.0,-0.6971043718204663,-1.4532536734018533,0.756149301581387,3.682692129740627
ModeA_points,188,147115131.9794922,1.0,0.8564964459900954,-0.7603286375842686,1.616825083574364,4.610700149174613
ModeA_points,189,131470001.11230469,1.0,1.5496426158544994,-0.0673372615526383,1.6169798774071378,1.8191264270748226
ModeA_points,190,111518250.66699219,1.0,-0.10240376035563326,-0.0778572111935368,-0.024546549162096462,3.317095269023859
ModeA_points,191,105788673.7421875,1.0,0.34596468459946,0.04928935754436224,0.29667532705509775,3.9927644512540814
ModeA_points,192,79305802.51708984,1.0,3.3537867121910656,1.0406385639383733,2.3131481482526923,5.0055347629166285
ModeA_points,193,74403304.40429688,1.0,0.9508260557681363,1.0136948114873021,-0.06286875571916584,3.4104227491351207
ModeA_points,194,76877831.82470703,1.0,2.221718291701152,1.376101855551457,0.8456164361496952,1.8929333006517672
ModeA_points,195,60678763.24707031,1.0,-0.273954072019681,0.8810850772801155,-1.1550391492997965,2.5682832196237424
ModeA_points,196,56824267.130859375,1.0,0.6985515693142725,0.8263250248903626,-0.1277734555760901,3.1899526212302876
ModeA_points,197,47722865.287109375,1.0,3.7523666250717986,1.7041375049447933,2.0482291201270053,2.7686603808812538
ModeA_points,198,48647779.599365234,1.0,-1.097632269209712,0.8636065726984418,-1.9612388419081537,3.4745334681228375
ModeA_points,199,37808325.0456543,0.9957813664341328,2.7279503296827,1.4211400785846253,1.3068102510980748,3.408180293514397
ModeA_points,200,39942673.646484375,1.0,2.27151611824313,1.6762528904821767,0.5952632277609533,2.9957589528008124
ModeA_points,201,38100390.5012207,1.0,0.39169078933293194,1.2908842601374033,-0.8991934708044713,2.0471659481675335
