pair_shell,shell_offset,target_a,target_b,mz_a,mz_b,delta_mz,mean_mz,overlap_proxy,corridor_proxy,rejection_proxy,leak_reduction_proxy,effective_leak_ratio,sep_s0_used,sep_norm,stable_margin,reject_margin,leak_margin,nearest_stable_boundary_margin,stable_margin_norm,repulsive_corridor_margin,repulsive_reject_margin,repulsive_margin,repulsive_margin_norm,nearest_threshold_gap,boundary_confidence,classification,repulsive_delta_ref_median,repulsive_delta_over_median,repulsive_distance_rank_desc,repulsive_proximity_rank_asc,repulsive_geom_bucket,repulsive_tiebreak_active,weak_stable_delta_ref_median,weak_stable_delta_over_median,weak_stable_compactness_rank_asc,weak_stable_edge_rank_desc,weak_stable_geom_bucket,weak_stable_tiebreak_active
adjacent,1,T10,T11,1359.91,1529.53,169.6199999999999,1444.72,2.162569031855021e-74,2.162569031855021e-74,1.0,1.0812845159275104e-74,1.0,0.1100000000001273,0.9993519118600124,-0.25,-0.25,-0.0999999999999999,-0.25,-1.0,0.25,0.25,0.25,1.0,0.0999999999999999,BORDERLINE,REPULSIVE,169.675,0.99967585089141,5.0,4.0,MID_REPULSIVE,1,,,,,,0
next_nearest,2,T09,T08,816.15,816.28,0.1299999999999954,816.2149999999999,0.8780954309205653,0.8780954309205653,0.1219045690794347,0.4390477154602826,0.5609522845397173,0.1100000000001273,0.5416666666663706,0.6280954309205653,0.6280954309205653,0.3390477154602827,0.3390477154602827,1.3561908618411307,-0.6280954309205653,-0.6280954309205653,-0.6280954309205653,-2.512381723682261,0.3390477154602827,WEAK_STABLE,STABLE-INTERMEDIATE-CANDIDATE,,,,,,0,0.2100000000000363,0.6190476190474902,2,5,DEEP_WEAK_STABLE,1
next_nearest,2,T05,T12,816.22,816.35,0.1299999999999954,816.2850000000001,0.8780954309205653,0.8780954309205653,0.1219045690794347,0.4390477154602826,0.5609522845397173,0.1100000000001273,0.5416666666663706,0.6280954309205653,0.6280954309205653,0.3390477154602827,0.3390477154602827,1.3561908618411307,-0.6280954309205653,-0.6280954309205653,-0.6280954309205653,-2.512381723682261,0.3390477154602827,WEAK_STABLE,STABLE-INTERMEDIATE-CANDIDATE,,,,,,0,0.2100000000000363,0.6190476190474902,1,4,DEEP_WEAK_STABLE,1
next_nearest,2,T08,T07,816.28,874.37,58.09000000000003,845.325,5.913349474578265e-26,5.913349474578265e-26,1.0,2.956674737289132e-26,1.0,0.1100000000001273,0.9981099656357366,-0.25,-0.25,-0.0999999999999999,-0.25,-1.0,0.25,0.25,0.25,1.0,0.0999999999999999,BORDERLINE,REPULSIVE,169.675,0.342360394872551,7.0,2.0,NEAR_THRESHOLD,1,,,,,,0
next_nearest,2,T12,T06,816.35,874.45,58.10000000000002,845.4000000000001,5.854510664206994e-26,5.854510664206994e-26,1.0,2.927255332103497e-26,1.0,0.1100000000001273,0.9981102903281202,-0.25,-0.25,-0.0999999999999999,-0.25,-1.0,0.25,0.25,0.25,1.0,0.0999999999999999,BORDERLINE,REPULSIVE,169.675,0.342419331074112,6.0,3.0,MID_REPULSIVE,1,,,,,,0
next_nearest,2,T07,T02,874.37,1359.47,485.1,1116.92,2.1073992867723527e-211,2.1073992867723527e-211,1.0,1.0536996433861763e-211,1.0,0.1100000000001273,0.9997732940376328,-0.25,-0.25,-0.0999999999999999,-0.25,-1.0,0.25,0.25,0.25,1.0,0.0999999999999999,BORDERLINE,REPULSIVE,169.675,2.85899513776337,2.0,7.0,FAR_GEOMETRY,1,,,,,,0
next_nearest,2,T06,T03,874.45,1359.59,485.1399999999999,1117.02,2.024766978808318e-211,2.024766978808318e-211,1.0,1.012383489404159e-211,1.0,0.1100000000001273,0.999773312725399,-0.25,-0.25,-0.0999999999999999,-0.25,-1.0,0.25,0.25,0.25,1.0,0.0999999999999999,BORDERLINE,REPULSIVE,169.675,2.85923088256962,1.0,8.0,FAR_GEOMETRY,1,,,,,,0
next_nearest,2,T02,T04,1359.47,1359.68,0.2100000000000363,1359.575,0.8105842459701577,0.8105842459701577,0.1894157540298423,0.4052921229850788,0.5947078770149212,0.1100000000001273,0.656249999999778,0.5605842459701577,0.5605842459701577,0.3052921229850788,0.3052921229850788,1.2211684919403152,-0.5605842459701577,-0.5605842459701577,-0.5605842459701577,-2.24233698388063,0.3052921229850788,WEAK_STABLE,STABLE-INTERMEDIATE-CANDIDATE,,,,,,0,0.2100000000000363,1.0,3,2,MID_WEAK_STABLE,1
next_nearest,2,T03,T01,1359.59,1359.8,0.2100000000000363,1359.695,0.8105842459701577,0.8105842459701577,0.1894157540298423,0.4052921229850788,0.5947078770149212,0.1100000000001273,0.656249999999778,0.5605842459701577,0.5605842459701577,0.3052921229850788,0.3052921229850788,1.2211684919403152,-0.5605842459701577,-0.5605842459701577,-0.5605842459701577,-2.24233698388063,0.3052921229850788,WEAK_STABLE,STABLE-INTERMEDIATE-CANDIDATE,,,,,,0,0.2100000000000363,1.0,4,3,MID_WEAK_STABLE,1
next_nearest,2,T04,T10,1359.68,1359.91,0.2300000000000182,1359.795,0.7945336025033195,0.7945336025033195,0.2054663974966805,0.3972668012516597,0.6027331987483402,0.1100000000001273,0.6764705882350581,0.5445336025033195,0.5445336025033195,0.2972668012516598,0.2972668012516598,1.189067205006639,-0.5445336025033195,-0.5445336025033195,-0.5445336025033195,-2.178134410013278,0.2972668012516598,WEAK_STABLE,STABLE-INTERMEDIATE-CANDIDATE,,,,,,0,0.2100000000000363,1.0952380952379925,5,1,NEAR_STABLE_EDGE,1
