scan,tic,g,drift_obs_ppm,width_obs_ppm,drift_state_ppm,alpha_eff
121,4171886.176063776,0.033789725838031553,-9.906066256340395,0.0,-9.825494640495887,0.3
122,4783165.680971026,0.04817762050471959,-9.651820482455838,0.0,-9.773392393083872,0.3
123,4140672.257797241,0.033055033173631405,-8.102987019586232,0.0,-9.27227078103458,0.3
124,4043900.1231722683,0.03077727436039273,-9.726148347227435,0.0,-9.408434050892437,0.3
125,3523859.7813530564,0.018536907064488465,-10.797385998028336,0.0,-9.825119635033207,0.3
126,3704719.50612545,0.02279386423151506,-10.06085530247226,0.0,-9.895840335264923,0.3
127,3325551.910405636,0.013869266916468823,-9.482507264767833,0.0,-9.771840414115797,0.3
128,3990237.7608029842,0.02951420499337371,-9.909894466786215,0.0,-9.813256629916921,0.3
129,3704814.54789412,0.02279610126211331,-8.547743859019176,0.0,-9.433602798647598,0.3
130,3852885.4457638264,0.026281296601804116,-9.549927862872295,6.27492260603357,-9.468500317915007,0.3
131,3599975.575006664,0.020328470519123887,-8.745035088508846,0.0,-9.251460749093159,0.3
132,3484045.580861211,0.0175997866174321,-6.611360818168484,10.679333686915301,-8.459430769815757,0.3
133,3953398.652069092,0.02864711029802917,-6.661586694767682,0.0,-7.920077547301335,0.3
134,4394767.554564953,0.039035761033547764,-12.00778020766466,0.0,-9.146388345410331,0.3
135,4531931.043296814,0.04226422495577416,-8.264622813247021,0.0,-8.881858685761339,0.3
136,4026481.781478882,0.030367292897672416,-8.62587769063279,0.0,-8.805064387222775,0.3
137,4498134.336425781,0.041468740313089905,-9.71879300354665,7.707955593308766,-9.079182972119938,0.3
138,4936142.530838013,0.051778288913620206,-8.877012076033497,10.288116671783719,-9.018531703294006,0.3
139,4693063.050643921,0.04605684409404208,-10.239743053003908,2.137366122845826,-9.384895108206976,0.3
140,4356107.1262869835,0.038125797317494714,-15.114844248787644,7.028481084658699,-11.103879850381176,0.3
141,4605014.515464783,0.043984415623033825,-8.13249238164117,6.431592791713474,-10.212463609759174,0.3
142,4571643.003579378,0.043198938940074885,-1.1610651155689256,8.661735491435952,-7.4970440615021,0.3
143,5163718.044998169,0.05713481158478438,-2.427240993329083,6.290282505226817,-5.976103141050195,0.3
144,6658248.630889893,0.09231208887500916,-4.496052203962652,2.5669422674612092,-5.532087859923932,0.3
145,8904650.09967041,0.14518640815520725,-1.0198238692219217,6.152172252447134,-4.178408662713329,0.3
146,14899573.516113281,0.28629096991166425,-2.8955470987492142,2.1866219451894193,-3.7935501935240943,0.3
147,22533430.744262695,0.46597167704712456,-4.088149020439984,4.5858194231271625,-3.8819298415988612,0.3
148,33797379.9173584,0.731095099200823,-1.668383514379945,2.2781963467040427,-3.2178659434331864,0.3
149,54037248.4375,1.0,-1.8564101339865802,2.824048745540149,-2.8094292005992045,0.3
150,96736046.47851562,1.0,-1.5936674421045345,2.590716779920169,-2.4447006730508036,0.3
151,154095585.59814453,1.0,-3.281761826653564,3.4865977990515624,-2.6958190191316316,0.3
152,254491451.0234375,1.0,-2.7528513298569366,1.7011662099723874,-2.712928712349223,0.3
153,395654840.50390625,1.0,-2.473333956282205,4.223203567318691,-2.6410502855291176,0.3
154,539804934.2929688,1.0,-2.6080451615570994,5.936808350905753,-2.631148748337512,0.3
155,903737391.1210938,1.0,-2.804035842471337,3.4933302937904007,-2.6830148765776594,0.3
156,1167845435.3710938,1.0,-0.5096351512508831,2.3404239746428943,-2.0310009589796265,0.3
157,1696275192.0078125,1.0,-1.4880721351267772,3.6516080428408975,-1.8681223118237718,0.3
158,2467920019.0078125,1.0,-1.522662640692378,2.375257750639075,-1.7644844104843536,0.3
159,3356718676.359375,1.0,-1.4132830971925028,2.649851127698089,-1.6591240164967984,0.3
160,4561957565.875,1.0,-1.6650540343965685,2.9435907052129973,-1.6609030218667296,0.3
161,5415990429.6875,1.0,1.1585562814794204,3.0755430529350427,-0.8150652308628845,0.3
162,6575569421.0,1.0,-0.825987813386456,3.67906675983466,-0.818342005619956,0.3
163,7291409776.875,1.0,1.485102879646897,4.642735828399297,-0.1273085400399001,0.3
164,8756930473.875,1.0,1.0885550882460722,2.665580317650186,0.23745054844589158,0.3
165,10364816143.65625,1.0,0.8638064791675378,2.1692354466281447,0.42535732766238543,0.3
166,11362880983.25,1.0,0.5451656885082546,3.178711283027159,0.4612998359161462,0.3
167,10636008172.25,1.0,0.742692119718826,1.662207094616862,0.5457175210569502,0.3
