config_id,profile_form,L0_km,gamma_km_inv,mae_all_per_1M,mae_wide_per_1M,rmse_wide_per_1M,sign_rate,gamma_shift_mean_per_1M,dynamic_sensitive
form=abs_quad|L0=1|gamma=0.0001,abs_quad,1.0,0.0001,0.6620168695409261,0.9930253043002331,1.4255272726595183,1.0,4.684204665401154e-05,NO
form=abs_quad|L0=1|gamma=0,abs_quad,1.0,0.0,0.66206371158758,0.9930955673702141,1.4256246173941136,1.0,0.0,NO
form=tilt_abs_quad|L0=1|gamma=0.01,tilt_abs_quad,1.0,0.01,0.6721167235933595,1.0081750853788833,1.2448759381358534,1.0,0.001372378494417946,NO
form=tilt_abs_quad|L0=1|gamma=0.001,tilt_abs_quad,1.0,0.001,0.6733516417473495,1.0100274626098684,1.2468375269108591,1.0,0.00013746034042792942,NO
form=tilt_abs_quad|L0=1|gamma=0.0001,tilt_abs_quad,1.0,0.0001,0.6734753538376718,1.0102130307453516,1.2470341059280308,1.0,1.3748250105706363e-05,NO
form=tilt_abs_quad|L0=1|gamma=0,tilt_abs_quad,1.0,0.0,0.6734891020877775,1.0102336531205103,1.247055952731971,1.0,0.0,NO
form=tilt_abs_quad|L0=1000|gamma=1,tilt_abs_quad,1000.0,1.0,0.7095470467732854,1.0643205701487721,1.3249576796712454,1.0,0.09075895549440066,YES
form=tilt_abs|L0=1000|gamma=1,tilt_abs,1000.0,1.0,0.7095470467732854,1.0643205701487721,1.3249576796712454,1.0,0.0814149739505644,YES
form=tilt_quad|L0=1000|gamma=1,tilt_quad,1000.0,1.0,0.7095470467732854,1.0643205701487721,1.3249576796712454,1.0,0.0088456995001897,NO
form=tilt_abs_quad|L0=0.001|gamma=0,tilt_abs_quad,0.001,0.0,0.7095470467732854,1.0643205701487721,1.3249576796712454,1.0,0.0,NO
form=tilt_abs_quad|L0=0.001|gamma=0.0001,tilt_abs_quad,0.001,0.0001,0.7095470467732854,1.0643205701487721,1.3249576796712454,1.0,0.0,NO
form=tilt_abs_quad|L0=0.001|gamma=0.001,tilt_abs_quad,0.001,0.001,0.7095470467732854,1.0643205701487721,1.3249576796712454,1.0,0.0,NO
form=tilt_abs_quad|L0=0.001|gamma=0.01,tilt_abs_quad,0.001,0.01,0.7095470467732854,1.0643205701487721,1.3249576796712454,1.0,0.0,NO
form=tilt_abs_quad|L0=0.001|gamma=0.1,tilt_abs_quad,0.001,0.1,0.7095470467732854,1.0643205701487721,1.3249576796712454,1.0,0.0,NO
form=tilt_abs_quad|L0=0.001|gamma=1,tilt_abs_quad,0.001,1.0,0.7095470467732854,1.0643205701487721,1.3249576796712454,1.0,0.0,NO
form=tilt_abs_quad|L0=1e+06|gamma=0,tilt_abs_quad,1000000.0,0.0,0.7095470467732854,1.0643205701487721,1.3249576796712454,1.0,0.0,NO
form=tilt_abs_quad|L0=1e+06|gamma=0.0001,tilt_abs_quad,1000000.0,0.0001,0.7095470467732854,1.0643205701487721,1.3249576796712454,1.0,0.0,NO
form=tilt_abs_quad|L0=1e+06|gamma=0.001,tilt_abs_quad,1000000.0,0.001,0.7095470467732854,1.0643205701487721,1.3249576796712454,1.0,0.0,NO
form=tilt_abs_quad|L0=1e+06|gamma=0.01,tilt_abs_quad,1000000.0,0.01,0.7095470467732854,1.0643205701487721,1.3249576796712454,1.0,0.0,NO
form=tilt_abs_quad|L0=1e+06|gamma=0.1,tilt_abs_quad,1000000.0,0.1,0.7095470467732854,1.0643205701487721,1.3249576796712454,1.0,0.0,NO
form=tilt_abs_quad|L0=1e+06|gamma=1,tilt_abs_quad,1000000.0,1.0,0.7095470467732854,1.0643205701487721,1.3249576796712454,1.0,0.0,NO
