holdout_run,window,setting,P_pp,P_p0,P_0p,P_A_plus,P_B_plus,emp_pp,emp_p0,emp_0p,abs_err_pp,abs_err_p0,abs_err_0p,bounds_ok,accounting_ok
01_11,slots4-8,10,9.306611459058978e-05,0.0003454044601211015,5.0969833091385475e-05,0.00043847057471169126,0.00014403594768197525,0.0001386258107734025,0.0005163040776874242,6.973110081654688e-05,4.5559696182812735e-05,0.0001708996175663227,1.876126772516141e-05,YES,YES
01_11,slots4-8,11,1.0967986715515465e-06,0.0004571753390700817,0.0004778088886906451,0.0004582721377416332,0.00047890568736219663,1.386236930668758e-06,0.0006554271612022303,0.0006954009761426354,2.894382591172115e-07,0.00019825182213214858,0.00021759208745199027,YES,YES
02_54,slot6,00,2.961351404806578e-05,1.3712175747415678e-05,1.5516747214228133e-05,4.332568979548146e-05,4.5130261262293914e-05,2.6468599856229164e-05,1.2645236133094645e-05,1.5610190568028325e-05,3.1449141918366175e-06,1.066939614321033e-06,9.344335380019272e-08,YES,YES
02_54,slot6,01,3.09829367181047e-05,1.3733841552454606e-05,0.00011448283593973319,4.471677827055931e-05,0.0001454657726578379,2.6765078371016455e-05,1.2587245220705465e-05,0.00010609810597109458,4.217858347088248e-06,1.1465963317491419e-06,8.384729968638602e-06,YES,YES
02_54,slot6,10,2.8776914267503173e-05,0.0001069160672036995,1.4766172347413509e-05,0.00013569298147120268,4.354308661491668e-05,2.7792533900115088e-05,9.547668359608441e-05,1.3473977565709504e-05,9.84380367388085e-07,1.1439383607615098e-05,1.2921947817040044e-06,YES,YES
02_54,slot6,11,2.524982239959783e-07,0.00013646337953621135,0.0001419059792184818,0.00013671587776020733,0.00014215847744247778,2.553241467705325e-07,0.00012216278407020865,0.00013176690005257713,2.8259227745542007e-09,1.43005954660027e-05,1.0139079165904672e-05,YES,YES
02_54,slots5-7,00,9.411348009280562e-05,4.1294766562116614e-05,4.826817207914669e-05,0.00013540824665492224,0.0001423816521719523,7.820803651881362e-05,3.9408367886833775e-05,4.56917150337131e-05,1.590544357399201e-05,1.8863986752828385e-06,2.5764570454335874e-06,YES,YES
02_54,slots5-7,01,0.0001082250403203755,4.378119837511463e-05,0.0003636768872526952,0.00015200623869549013,0.0004719019275730707,8.192509681869454e-05,3.695662325330372e-05,0.00031650736110348,2.6299943501680958e-05,6.8245751218109075e-06,4.716952614921519e-05,YES,YES
02_54,slots5-7,10,9.142355425706405e-05,0.00033964224393634446,4.7072046432172776e-05,0.0004310657981934085,0.00013849560068923683,8.324011213334823e-05,0.00028802100149207606,3.9714843495429475e-05,8.183442123715825e-06,5.1621242444268396e-05,7.357202936743301e-06,YES,YES
02_54,slots5-7,11,8.534824081918302e-07,0.0004336405892516604,0.0004507790043430937,0.0004344940716598522,0.00045163248675128553,7.463321213292489e-07,0.0003716144754650189,0.00039858063342778364,1.0715028686258128e-07,6.202611378664148e-05,5.219837091531007e-05,YES,YES
