config_id,profile_scope,profile_form,L0_km,gamma_km_inv,mae_all_per_1M,mae_wide_per_1M,rmse_wide_per_1M,slot6_mae_per_1M,sign_rate,gamma_shift_mean_per_1M,dynamic_sensitive
scope=by_channel|form=abs_quad|L0=1|gamma=0.1,by_channel,abs_quad,1.0,0.1,2.8849851580005286,4.327477736989637,5.767228359761704,2.231199253133198e-11,1.0,3.0773763235131875,YES
scope=by_channel|form=abs_quad|L0=1000|gamma=1e-06,by_channel,abs_quad,1000.0,1e-06,3.0686791969703298,4.6030187954443385,6.306636467775594,2.231199253133198e-11,0.4444444444444444,2.9129919962324275,YES
scope=by_channel|form=linear_abs_quad|L0=1|gamma=0.1,by_channel,linear_abs_quad,1.0,0.1,3.1642648992475806,4.746397348860215,6.183412986136591,2.231199253133198e-11,1.0,3.309860468933312,YES
scope=by_channel|form=tilt_abs_quad|L0=1|gamma=0.1,by_channel,tilt_abs_quad,1.0,0.1,3.1753646695415565,4.763047004301179,6.18392750586513,2.231199253133198e-11,1.0,3.366767061448623,YES
scope=by_channel|form=tilt_abs|L0=1000|gamma=1e-06,by_channel,tilt_abs,1000.0,1e-06,3.3129235834458983,4.9693853751576915,5.622190649126023,2.231199253133198e-11,0.7777777777777778,3.5043259753529643,YES
scope=by_channel|form=tilt_abs|L0=1|gamma=0.01,by_channel,tilt_abs,1.0,0.01,5.171235150473301,7.756852725698796,12.419034444217521,2.231199253133198e-11,0.5555555555555556,4.97983275855136,YES
scope=by_channel|form=tilt_quad|L0=1000|gamma=1e-06,by_channel,tilt_quad,1000.0,1e-06,5.823004926817312,8.73450739021481,10.049604071915585,2.231199253133198e-11,0.7777777777777778,6.014407318724378,YES
scope=by_channel|form=tilt_quad|L0=1|gamma=0.001,by_channel,tilt_quad,1.0,0.001,20.557881710158927,30.836822565227237,40.7425439085287,2.231199253133198e-11,0.5555555555555556,20.366479318236987,YES
scope=by_channel|form=tilt_quad|L0=0.001|gamma=1,by_channel,tilt_quad,0.001,1.0,20.55810319758954,30.837154796373152,40.743053416731975,2.231199253133198e-11,0.5555555555555556,20.366700805667598,YES
scope=by_channel|form=abs_quad|L0=1|gamma=0.01,by_channel,abs_quad,1.0,0.01,32.00599923804693,48.00899885705925,64.29289124209362,2.231199253133198e-11,0.7777777777777778,32.19839040355959,YES
scope=by_channel|form=linear_abs_quad|L0=1|gamma=0.01,by_channel,linear_abs_quad,1.0,0.01,35.0326187447333,52.54892811708879,68.64130234464686,2.231199253133198e-11,0.7777777777777778,35.17821431441903,YES
scope=by_channel|form=tilt_abs_quad|L0=1|gamma=0.01,by_channel,tilt_abs_quad,1.0,0.01,35.044242893229224,52.56636433983269,68.64238673527848,2.231199253133198e-11,0.7777777777777778,35.23564528513629,YES
scope=by_channel|form=linear_abs_quad|L0=0.001|gamma=0,by_channel,linear_abs_quad,0.001,0.0,45.59801315259071,68.39701972887491,84.49150504473597,2.231199253133198e-11,0.7777777777777778,0.0,NO
scope=by_channel|form=tilt_abs|L0=1|gamma=0.001,by_channel,tilt_abs,1.0,0.001,50.19134169974213,75.28701254960204,123.6128317309384,2.231199253133198e-11,0.5555555555555556,49.99993930782019,YES
scope=by_channel|form=tilt_abs|L0=0.001|gamma=1,by_channel,tilt_abs,0.001,1.0,50.194270638487055,75.29140595771943,123.62203160299752,2.231199253133198e-11,0.5555555555555556,50.00286824656512,YES
scope=by_channel|form=tilt_quad|L0=1|gamma=0.0001,by_channel,tilt_quad,1.0,0.0001,203.68360660106347,305.52540990158406,404.53942613148433,2.231199253133198e-11,0.5555555555555556,203.4922042091415,YES
scope=by_channel|form=tilt_quad|L0=0.001|gamma=0.1,by_channel,tilt_quad,0.001,0.1,203.81062715633468,305.71594073449086,404.8409488805269,2.231199253133198e-11,0.5555555555555556,203.6192247644127,YES
scope=by_channel|form=abs_quad|L0=1|gamma=0.001,by_channel,abs_quad,1.0,0.001,322.43610704606385,483.65416056908464,647.6637197221064,2.231199253133198e-11,0.7777777777777778,322.62849821157647,YES
scope=by_channel|form=abs_quad|L0=0.001|gamma=1,by_channel,abs_quad,0.001,1.0,322.78902555363896,484.1835383304473,648.5127972787471,2.231199253133198e-11,0.7777777777777778,322.9814167191516,YES
scope=by_channel|form=linear_abs_quad|L0=0.001|gamma=1,by_channel,linear_abs_quad,0.001,1.0,341.5182428513697,512.2773642770434,692.0724560897938,2.231199253133198e-11,0.7777777777777778,295.920229698779,YES
scope=by_channel|form=linear_abs_quad|L0=1|gamma=0.001,by_channel,linear_abs_quad,1.0,0.001,352.8173540732464,529.2260311098585,691.0093870174948,2.231199253133198e-11,0.7777777777777778,352.96294964293213,YES
scope=by_channel|form=tilt_abs_quad|L0=1|gamma=0.001,by_channel,tilt_abs_quad,1.0,0.001,352.8291882184824,529.2437823277124,691.0109748856646,2.231199253133198e-11,0.7777777777777778,353.0205906103895,YES
scope=by_channel|form=tilt_abs_quad|L0=0.001|gamma=1,by_channel,tilt_abs_quad,0.001,1.0,353.2517559745119,529.8776339617567,692.0457755370562,2.231199253133198e-11,0.7777777777777778,353.44315836641897,YES
scope=by_channel|form=tilt_abs|L0=1|gamma=0.0001,by_channel,tilt_abs,1.0,0.0001,496.7098638704648,745.0647958056861,1223.8013973064224,2.231199253133198e-11,0.5555555555555556,496.5184614785429,YES
scope=by_channel|form=tilt_abs|L0=0.001|gamma=0.1,by_channel,tilt_abs,0.001,0.1,499.0359777931057,748.5539666896474,1231.2216328485147,2.231199253133198e-11,0.5555555555555556,498.84457540118376,YES
scope=by_channel|form=linear_abs_quad|L0=1|gamma=1e-06,by_channel,linear_abs_quad,1.0,1e-06,1454.3214289158975,2181.482143373835,3072.471908939775,2.231199253133198e-11,0.8888888888888888,1454.4494739953382,YES
scope=by_channel|form=tilt_abs_quad|L0=1|gamma=1e-06,by_channel,tilt_abs_quad,1.0,1e-06,1454.3341616478317,2181.501242471736,3072.508196044675,2.231199253133198e-11,0.8888888888888888,1454.4868461549065,YES
scope=by_channel|form=tilt_quad|L0=0.001|gamma=0.01,by_channel,tilt_quad,0.001,0.01,2023.6017796819367,3035.402669522894,4012.7492956458445,2.231199253133198e-11,0.5555555555555556,2023.4103772900146,YES
scope=by_channel|form=tilt_abs|L0=1|gamma=1e-06,by_channel,tilt_abs,1.0,1e-06,2678.9778855707564,4018.466828356123,4184.058735931408,2.231199253133198e-11,0.5555555555555556,2678.7864831788347,YES
scope=by_channel|form=abs_quad|L0=1|gamma=1e-06,by_channel,abs_quad,1.0,1e-06,2792.030720420266,4188.046080630388,5001.8141716571645,2.231199253133198e-11,0.8888888888888888,2792.186407620989,YES
scope=by_channel|form=abs_quad|L0=1|gamma=0.0001,by_channel,abs_quad,1.0,0.0001,2872.531013174022,4308.796519761022,5635.6963189507505,2.231199253133198e-11,0.7777777777777778,2872.7234043395347,YES
scope=by_channel|form=linear_abs_quad|L0=1|gamma=0.0001,by_channel,linear_abs_quad,1.0,0.0001,3111.962995719542,4667.944493579302,5902.682711593013,2.231199253133198e-11,0.7777777777777778,3112.108591289228,YES
scope=by_channel|form=tilt_abs_quad|L0=1|gamma=0.0001,by_channel,tilt_abs_quad,1.0,0.0001,3111.983162585692,4667.974743878527,5902.707007589217,2.231199253133198e-11,0.7777777777777778,3112.174564977599,YES
scope=by_channel|form=abs_quad|L0=0.001|gamma=0.1,by_channel,abs_quad,0.001,0.1,3185.2279947574307,4777.841992136135,6380.524442702903,2.231199253133198e-11,0.7777777777777778,3185.4203859229433,YES
scope=by_channel|form=linear_abs_quad|L0=0.001|gamma=0.1,by_channel,linear_abs_quad,0.001,0.1,3471.842285775173,5207.763428662748,6797.948136315139,2.231199253133198e-11,0.7777777777777778,3426.2442726225822,YES
scope=by_channel|form=tilt_abs_quad|L0=0.001|gamma=0.1,by_channel,tilt_abs_quad,0.001,0.1,3484.2566700714087,5226.385005107102,6801.120929749852,2.231199253133198e-11,0.7777777777777778,3484.448072463316,YES
scope=by_channel|form=tilt_abs|L0=0.001|gamma=0.01,by_channel,tilt_abs,0.001,0.01,4850.872405616476,7276.308608424702,11866.41057024391,2.231199253133198e-11,0.5555555555555556,4850.681003224554,YES
