galaxy,n_points,v_flat_kms,env_scale,file
UGC07399_rotmod,10,100.2,11.155600000000002,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC07399_rotmod.dat
UGC07524_rotmod,31,81.32000000000001,7.34771377777778,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC07524_rotmod.dat
UGC07559_rotmod,7,28.080000000000002,0.8760960000000001,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC07559_rotmod.dat
UGC07577_rotmod,9,14.180000000000001,0.22341377777777785,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC07577_rotmod.dat
UGC07603_rotmod,12,62.0,4.271111111111112,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC07603_rotmod.dat
UGC07608_rotmod,8,60.58,4.077707111111112,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC07608_rotmod.dat
UGC07690_rotmod,7,58.04,3.7429351111111107,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC07690_rotmod.dat
UGC07866_rotmod,7,28.359999999999996,0.893655111111111,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC07866_rotmod.dat
UGC08286_rotmod,17,83.54,7.754368444444445,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC08286_rotmod.dat
UGC08490_rotmod,30,77.38,6.652960444444443,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC08490_rotmod.dat
UGC08550_rotmod,11,56.18000000000001,3.5068804444444455,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC08550_rotmod.dat
UGC08699_rotmod,41,180.6,36.240399999999994,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC08699_rotmod.dat
UGC08837_rotmod,8,40.2,1.7956000000000003,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC08837_rotmod.dat
UGC09037_rotmod,22,150.6,25.200399999999995,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC09037_rotmod.dat
UGC09133_rotmod,68,224.8,56.150044444444454,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC09133_rotmod.dat
UGC09992_rotmod,5,32.02,1.1392004444444448,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC09992_rotmod.dat
UGC10310_rotmod,7,70.28,5.488087111111112,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC10310_rotmod.dat
UGC11455_rotmod,36,268.6,80.1621777777778,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC11455_rotmod.dat
UGC11557_rotmod,12,81.16,7.318828444444445,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC11557_rotmod.dat
UGC11820_rotmod,10,74.28999999999999,6.1322267777777775,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC11820_rotmod.dat
UGC11914_rotmod,65,291.8,94.60804444444445,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC11914_rotmod.dat
UGC12506_rotmod,31,229.4,58.471511111111106,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC12506_rotmod.dat
UGC12632_rotmod,15,72.2,5.7920444444444446,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC12632_rotmod.dat
UGC12732_rotmod,16,91.56,9.314704,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC12732_rotmod.dat
UGCA281_rotmod,7,26.579999999999995,0.7849959999999996,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGCA281_rotmod.dat
UGCA442_rotmod,8,54.9,3.3488999999999995,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGCA442_rotmod.dat
UGCA444_rotmod,36,36.96,1.517824,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGCA444_rotmod.dat
