scan,tic,g,drift_obs_ppm,width_obs_ppm,drift_state_ppm,alpha_eff
122,3647135.86583817,0.025553784675877416,-3.5783863549183668,0.0,-7.58606270755016,0.0807496015520724
123,3891310.0801392533,0.032488688382597185,-9.720478597487531,0.0,-7.761746383159046,0.08230995488608435
124,4549336.171291776,0.051177588812619794,-9.639802695060599,0.0,-7.9242263451335875,0.08651495748283945
125,4040755.8948100805,0.03673316742016064,-9.343777674789932,0.0,-8.042425233604913,0.08326496266953613
126,3795392.6009188592,0.029764492119331985,-8.986683877595736,3.0049178705416493,-8.119568342171952,0.08169701072684969
127,4013251.5364751406,0.03595200354045331,-9.305415761257944,0.0,-8.21809945649052,0.083089200796602
128,3863580.5674057007,0.03170112978968071,-4.2371148291956535,0.0,-7.8911302246122705,0.08213275420267815
129,3766821.2320861816,0.028953023585723953,-10.790504882036,0.0,-8.127471098058104,0.08151443030678789
130,4148478.5758514404,0.039792648627829684,-5.196189087128637,0.0,-7.8813801653431454,0.08395334594126166
131,4576936.4203186035,0.05196147612779108,-3.0571607708086916,0.0,-7.463162159549587,0.08669133212875298
132,4802678.1818237305,0.05837287129949005,-10.261580048288247,7.912740750715131,-7.709797630838832,0.08813389604238527
133,4623404.891983032,0.05328124847686431,-10.729653497239001,0.0,-7.972489701244791,0.08698828090729448
134,4653616.053741455,0.0541392895204794,-9.898617843417824,0.0,-8.140412133964864,0.08718134014210786
135,5284343.10546875,0.07205285742719772,-10.349333026284196,6.2749173759675365,-8.341891989866319,0.09121189292111948
136,6009390.831939697,0.0926452700218056,-9.038742431927195,0.0,-8.408681749929032,0.09584518575490626
137,5746353.049942017,0.0851746134882956,-8.846435070886024,0.0,-8.449902479731845,0.0941642880348665
138,5801278.318511963,0.08673457119999983,-11.683852041178767,0.0,-8.755560123251632,0.09451527851999995
139,6351931.8023376465,0.10237393302627415,-11.500513927024922,0.0,-9.024659294829862,0.09803413493091168
140,7898415.006500244,0.14629631088924852,-10.289082494712616,0.0,-9.161111635968833,0.10791666995008092
141,5392948.256210327,0.0751374020610464,-9.99729480456913,0.0,-9.23796181557441,0.09190591546373543
142,4908772.805282593,0.061386113298011094,-13.458804711355725,0.0,-9.612822789306055,0.08881187549205251
143,4345291.192054749,0.045382413892537575,-10.781718141648248,0.0,-9.712425581584057,0.08521104312582096
144,4607010.428175926,0.05281562180063636,-9.316484097113168,0.0,-9.678024793716466,0.08688351490514318
145,3722161.989967346,0.027684635993710172,-10.037018849435665,9.743265595342613,-9.707185537340616,0.0812290430985848
146,3915703.651786804,0.033181501384670124,-6.611270348812161,3.984646087128872,-9.451878297525111,0.08246583781155077
147,4300176.6064453125,0.04410109388147277,6.352850279472251,2.9600304543591536,-8.109697345032604,0.08492274612333137
148,7418824.941955566,0.13267525378525888,-1.5733539575329274,2.9920410190226763,-7.424349111973202,0.10485193210168325
149,10588672.856689453,0.22270355639103664,-0.8305027747286383,3.550683391086029,-6.599404205019775,0.12510830018798322
150,17252564.335998535,0.4119677907546805,-1.628546368827564,4.7149036220256395,-5.765827370095728,0.1676927529198031
151,20996363.360229492,0.5182971417251279,-1.9266935067975235,2.9358905132157957,-5.030184606037651,0.19161685688815375
152,35684623.86376953,0.9354651563856073,-2.2242510773129758,2.9032344576441127,-4.22914765575069,0.28547966018676163
153,55721656.213134766,1.0,-3.786944412735732,3.069843764397704,-4.096486682846203,0.3
154,99951005.55322266,1.0,-2.208116832081669,1.041489262591453,-3.529975727616843,0.3
155,176113554.0283203,1.0,-3.4402271231073165,4.246842190306706,-3.503051146263985,0.3
156,272194480.96875,1.0,-5.188210069073426,4.591337258971112,-4.0085988231068175,0.3
157,516808238.0097656,1.0,-2.5264436396638232,4.151988924414956,-3.563952268073919,0.3
158,728585238.0585938,1.0,-2.918176342582029,3.7168003096502913,-3.370219490426352,0.3
159,1280941971.609375,1.0,-2.2039105863766366,2.2435988714536412,-3.020326819211437,0.3
160,2131005870.5703125,1.0,0.6295736678618055,2.8565152111294085,-1.9253566730894645,0.3
161,3035006919.40625,1.0,-0.6568983599971879,3.8986645888740474,-1.5448191791617816,0.3
162,4332344245.5234375,1.0,0.5587596816757221,3.909910399215846,-0.9137455209105305,0.3
163,5204067046.140625,1.0,-0.4437015696116069,3.91265928559244,-0.7727323355208534,0.3
164,6635384790.234375,1.0,-0.5409783156268206,5.042686650084548,-0.7032061295526436,0.3
165,8172616261.21875,1.0,-1.1498396464212544,2.164920928037383,-0.8371961846132269,0.3
166,10654048777.9375,1.0,0.12378418294039631,3.4125849243644035,-0.54890207434714,0.3
167,12113886922.625,1.0,-0.3356554342421285,2.5203015422168025,-0.48492808231563655,0.3
168,12503595039.1875,1.0,-0.4671077425514019,2.258304917860841,-0.4795819803863662,0.3
169,13355009514.75,1.0,-1.3031578385942835,2.880624405706718,-0.7266547378487413,0.3
170,12529628917.59375,1.0,-0.42960682324116634,2.8351175214840367,-0.6375403634664688,0.3
171,11444352886.875,1.0,-1.6790818182532659,2.1607698586465838,-0.950002799902508,0.3
172,9984058126.46875,1.0,0.10858191545786658,2.8819896853249287,-0.6324273852943956,0.3
173,7968694218.6875,1.0,1.0800533968458985,1.421693762028346,-0.11868315065230739,0.3
174,6247932783.0625,1.0,1.5770061119337746,3.504416764932443,0.3900236281235172,0.3
175,4576898721.15625,1.0,2.215919266077291,2.411324044846827,0.9377923195096493,0.3
176,3869148496.75,1.0,0.3441787091952008,2.264120978729043,0.7597082364153147,0.3
177,3105323527.296875,1.0,2.4167157248349085,3.9582549037983803,1.2568104829411928,0.3
178,2605429512.15625,1.0,0.3555162782312696,2.7404224891678464,0.9864222215282159,0.3
179,1760150436.6796875,1.0,-0.5858040072399008,4.162570661967368,0.5147543528977809,0.3
180,1271016531.0859375,1.0,-0.037654273158056126,4.411126801315884,0.34903176508102984,0.3
181,977828168.8242188,1.0,-2.6012427336343635,2.773114712730454,-0.5360505845335881,0.3
182,661430342.3125,1.0,-2.586785972609953,2.5184203588178753,-1.1512712009564976,0.3
183,435607030.37109375,1.0,-0.5327104133253241,2.0037459528447883,-0.9657029646671456,0.3
184,383793977.5019531,1.0,-0.7712027575799699,3.050136167261925,-0.9073529025409929,0.3
185,234550424.4423828,1.0,-2.282123150374441,3.728673819559243,-1.3197839768910273,0.3
186,200201584.53222656,1.0,-2.844896253233857,3.059411993300879,-1.7773176597938762,0.3
187,183642714.27246094,1.0,-0.6971043718204663,3.682692129740627,-1.4532536734018533,0.3
188,147115131.9794922,1.0,0.8564964459900954,4.610700149174613,-0.7603286375842686,0.3
189,131470001.11230469,1.0,1.5496426158544994,1.8191264270748226,-0.0673372615526383,0.3
190,111518250.66699219,1.0,-0.10240376035563326,3.317095269023859,-0.0778572111935368,0.3
191,105788673.7421875,1.0,0.34596468459946,3.9927644512540814,0.04928935754436224,0.3
192,79305802.51708984,1.0,3.3537867121910656,5.0055347629166285,1.0406385639383733,0.3
193,74403304.40429688,1.0,0.9508260557681363,3.4104227491351207,1.0136948114873021,0.3
