channel,i,E_lo,E_hi,E_ctr,obs,pred_sm,pred_geo,bkg,P_sm,P_geo,dphi,dphi_base,dphi_breath,dphi_thread,thread_weight,thread_amp,thread_phase,breath_amp,breath_phase,k_rt,kappa_gate,eta,omega
T2K_dis_FHC,9,1.5,1.6666666666666665,1.5833333333333333,6.0,3.860294117647059,3.845717497735641,0.0,0.6903188457536324,0.687712175089281,0.0028156143234613815,0.002815167266014877,4.88850074776886e-07,-4.179262827263207e-08,1.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_dis_FHC,10,1.6666666666666665,1.8333333333333333,1.75,1.0,3.125,3.1137149618515236,0.0,0.7409826450300081,0.738306799456721,0.003048860480434514,0.0030483763886433287,5.29346530675563e-07,-4.5254739490483246e-08,1.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_dis_FHC,11,1.8333333333333333,2.0,1.9166666666666665,1.0,2.5735294117647056,2.5645526692465674,0.0,0.7805678323924838,0.7778451293150305,0.003282106637407646,0.00328158551127178,5.6984298657424e-07,-4.871685070833442e-08,1.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_dis_FHC,12,2.0,2.1666666666666665,2.083333333333333,1.0,2.389705882352941,2.381597982369409,0.0,0.8119645076597141,0.8092096385074481,0.003515352794380778,0.0035147946339002313,6.103394424729168e-07,-5.2178961926185586e-08,1.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_dis_FHC,13,2.1666666666666665,2.333333333333333,2.25,19.0,11.397058823529411,11.359253570429459,0.0,0.8372205417455271,0.834443392397502,0.0037485989513539103,0.0037480037565286828,6.508358983715938e-07,-5.5641073144036763e-08,1.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_dis_FHC,14,2.333333333333333,2.5,2.4166666666666665,1.0,1.8382352941176472,1.8322507442267026,0.0,0.85780235060537,0.8550096934410806,0.003981845108327042,0.003981212879157134,6.913323542702707e-07,-5.9103184361887954e-08,1.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_dis_FHC,15,2.5,2.6666666666666665,2.583333333333333,2.0,1.6544117647058825,1.6491097382137672,0.0,0.8747744018210118,0.8719709419133728,0.004215091265300175,0.004214422001785585,7.318288101689476e-07,-6.256529557973912e-08,1.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_dis_FHC,16,2.6666666666666665,2.833333333333333,2.75,1.0,1.4705882352941175,1.4659379160278638,0.0,0.888920656937704,0.8861096968348566,0.004448337422273307,0.004447631124414036,7.723252660676244e-07,-6.60274067975903e-08,1.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_dis_FHC,17,2.833333333333333,3.0,2.9166666666666665,19.0,1.4705882352941175,1.4659909434027998,0.0,0.9008268068421045,0.8980106794753921,0.0046815835792464395,0.004680840247042488,8.128217219663016e-07,-6.948951801544148e-08,1.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_dis_RHC,0,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.046512616787308,0.04621134592606191,0.0007163989107031918,0.0007162851623588151,1.2438197168879352e-07,-1.0633627311971474e-08,1.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
