pair_shell,shell_offset,target_a,target_b,mz_a,mz_b,delta_mz,mean_mz,overlap_proxy,corridor_proxy,rejection_proxy,leak_reduction_proxy,effective_leak_ratio,sep_s0_used,sep_norm,stable_margin,reject_margin,leak_margin,nearest_stable_boundary_margin,stable_margin_norm,repulsive_corridor_margin,repulsive_reject_margin,repulsive_margin,repulsive_margin_norm,nearest_threshold_gap,classification,boundary_confidence
adjacent,1,T10,T11,1359.9123871042475,1529.5289822320071,169.61659512775964,1444.7206846681274,2.169944852857554e-74,2.169944852857554e-74,1.0,1.084972426428777e-74,1.0,0.11,0.9993518988587663,-0.25,-0.25,-0.09999999999999998,-0.25,-0.3333333333333333,0.25,0.25,0.25,1.0,0.09999999999999998,REPULSIVE,STRONG_REPULSIVE
next_nearest,2,T09,T08,816.150905794617,816.2846386253631,0.13373283074611209,816.21777220999,0.8748237593949933,0.8748237593949933,0.12517624060500665,0.4374118796974967,0.5625881203025034,0.11,0.5486861590895683,0.6248237593949933,0.6248237593949933,0.33741187969749664,0.33741187969749664,0.4498825062633289,-0.6248237593949933,-0.6248237593949933,-0.6248237593949933,-2.4992950375799734,0.33741187969749664,STABLE-INTERMEDIATE-CANDIDATE,WEAK_STABLE
next_nearest,2,T05,T12,816.2179591887738,816.3505774368784,0.13261824810467715,816.284268312826,0.8757993663678291,0.8757993663678291,0.12420063363217093,0.43789968318391453,0.5621003168160854,0.11,0.5466128337035031,0.6257993663678291,0.6257993663678291,0.3378996831839146,0.3378996831839146,0.45053291091188613,-0.6257993663678291,-0.6257993663678291,-0.6257993663678291,-2.5031974654713163,0.3378996831839146,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE
next_nearest,2,T08,T07,816.2846386253631,874.3736148839217,58.08897625855866,845.3291267546424,5.919406315283136e-26,5.919406315283136e-26,1.0,2.959703157641568e-26,1.0,0.11,0.9981099323893378,-0.25,-0.25,-0.09999999999999998,-0.25,-0.3333333333333333,0.25,0.25,0.25,1.0,0.09999999999999998,REPULSIVE,STRONG_REPULSIVE
next_nearest,2,T12,T06,816.3505774368784,874.4459950022319,58.0954175653535,845.3982862195552,5.881400139290547e-26,5.881400139290547e-26,1.0,2.9407000696452737e-26,1.0,0.11,0.9981101415538083,-0.25,-0.25,-0.09999999999999998,-0.25,-0.3333333333333333,0.25,0.25,0.25,1.0,0.09999999999999998,REPULSIVE,STRONG_REPULSIVE
next_nearest,2,T07,T02,874.3736148839217,1359.4683021868375,485.09468730291576,1116.9209585353797,2.118625053965191e-211,2.118625053965191e-211,1.0,1.0593125269825956e-211,1.0,0.11,0.9997732915553403,-0.25,-0.25,-0.09999999999999998,-0.25,-0.3333333333333333,0.25,0.25,0.25,1.0,0.09999999999999998,REPULSIVE,STRONG_REPULSIVE
next_nearest,2,T06,T03,874.4459950022319,1359.5761874211696,485.13019241893767,1117.0110912117007,2.0447227440179525e-211,2.0447227440179525e-211,1.0,1.0223613720089762e-211,1.0,0.11,0.9997733081436398,-0.25,-0.25,-0.09999999999999998,-0.25,-0.3333333333333333,0.25,0.25,0.25,1.0,0.09999999999999998,REPULSIVE,STRONG_REPULSIVE
next_nearest,2,T02,T04,1359.4683021868375,1359.693640591063,0.2253384042255675,1359.5809713889503,0.7982460432136161,0.7982460432136161,0.20175395678638386,0.39912302160680807,0.600876978393192,0.11,0.6719731512588466,0.5482460432136161,0.5482460432136161,0.29912302160680804,0.29912302160680804,0.39883069547574407,-0.5482460432136161,-0.5482460432136161,-0.5482460432136161,-2.1929841728544646,0.29912302160680804,STABLE-INTERMEDIATE-CANDIDATE,WEAK_STABLE
next_nearest,2,T03,T01,1359.5761874211696,1359.8014120746163,0.22522465344673037,1359.688799747893,0.7983368494872797,0.7983368494872797,0.20166315051272032,0.39916842474363984,0.6008315752563602,0.11,0.6718618428895481,0.5483368494872797,0.5483368494872797,0.2991684247436398,0.2991684247436398,0.39889123299151974,-0.5483368494872797,-0.5483368494872797,-0.5483368494872797,-2.1933473979491187,0.2991684247436398,STABLE-INTERMEDIATE-CANDIDATE,WEAK_STABLE
next_nearest,2,T04,T10,1359.693640591063,1359.9123871042475,0.21874651318444194,1359.8030138476552,0.8035253754289565,0.8035253754289565,0.19647462457104348,0.40176268771447826,0.5982373122855218,0.11,0.6653956906357059,0.5535253754289565,0.5535253754289565,0.30176268771447823,0.30176268771447823,0.402350250285971,-0.5535253754289565,-0.5535253754289565,-0.5535253754289565,-2.214101501715826,0.30176268771447823,STABLE-INTERMEDIATE-CANDIDATE,WEAK_STABLE
next_nearest,2,T01,T11,1359.8014120746163,1529.5289822320071,169.7275701573908,1444.6651971533117,1.9420162241172955e-74,1.9420162241172955e-74,1.0,9.710081120586478e-75,1.0,0.11,0.9993523223401155,-0.25,-0.25,-0.09999999999999998,-0.25,-0.3333333333333333,0.25,0.25,0.25,1.0,0.09999999999999998,REPULSIVE,STRONG_REPULSIVE
