target_label,target_mz,window_ppm,setting,g_bin,g_lo,g_hi,g_center,n_total,n_good,p_success,median_success_ppm,mad_success_ppm,frac_tail3,x_occ_mean,x_occ_median,gate_occ_factor_mean,gate_occ_factor_min,gate_occ_factor_max,mean_gate_good,p_success_occ
T02,1359.47,30.0,ModeB_points,7,0.16477966949564207,1.0,0.582389834747821,190,190,1.0,-0.37013743600002413,2.2427976995326593,0.0,0.5428034035331556,0.4980122625945915,0.9457196596466845,0.9281378550489325,0.9619190896293233,0.9457196596466845,0.9457196596466845
T03,1359.59,30.0,ModeA_points,0,0.0,0.04989297380775222,0.02494648690387611,8,8,1.0,9.027221322574604,11.474764024832567,0.0,0.5504298633039235,0.6647224557288727,0.9449570136696076,0.9302859899923169,1.0,0.9449570136696076,0.9449570136696076
T03,1359.59,30.0,ModeB_holdout_points,0,0.0,0.04989297380775222,0.02494648690387611,30,30,1.0,-0.0004646839010965533,0.8319543422042546,0.0,0.580948576889043,0.655268624663647,0.9419051423110958,0.9216117377030133,1.0,0.9419051423110958,0.9419051423110958
T03,1359.59,30.0,ModeB_points,0,0.0,0.04989297380775222,0.02494648690387611,22,22,1.0,-1.7119437287946166,5.748097521619264,0.0,0.5214097995910071,0.640157825493305,0.9478590200408994,0.9232753103037329,1.0,0.9478590200408994,0.9478590200408994
T03,1359.59,30.0,ModeA_points,1,0.05280764229539632,0.1110307180458106,0.08191918017060346,28,28,1.0,-2.9874750256050024,1.3427755854566987,0.0,0.51302641904306,0.47214649497664407,0.948697358095694,0.9250982912744179,0.9588873558273387,0.948697358095694,0.948697358095694
T03,1359.59,30.0,ModeB_holdout_points,1,0.05280764229539632,0.1110307180458106,0.08191918017060346,8,8,1.0,0.427838233631252,1.8601836893423904,0.0,0.5097111219276468,0.5115964792123391,0.9490288878072353,0.9250443566305971,1.0,0.9490288878072353,0.9490288878072353
T03,1359.59,30.0,ModeB_points,1,0.05280764229539632,0.1110307180458106,0.08191918017060346,12,12,1.0,-1.0753645589368572,0.6160739074377322,0.0,0.5690596359123498,0.5210519300082969,0.9430940364087649,0.929495914469552,0.9568440968912372,0.9430940364087649,0.9430940364087649
T03,1359.59,30.0,ModeA_points,2,0.11165183066195762,0.12907862920181176,0.1203652299318847,8,8,1.0,-2.436321106387503,0.6562832547699673,0.0,0.4889751967512474,0.4474407245420716,0.9511024803248752,0.9330387421626537,0.9572090652107931,0.9511024803248752,0.9511024803248752
T03,1359.59,30.0,ModeB_holdout_points,2,0.11165183066195762,0.12907862920181176,0.1203652299318847,8,8,1.0,-0.12661055004327626,2.326522849105539,0.0,0.5385758047447577,0.49480517699343907,0.9461424195255242,0.9305122452302219,0.9673754977676654,0.9461424195255242,0.9461424195255242
T03,1359.59,30.0,ModeB_points,2,0.11165183066195762,0.12907862920181176,0.1203652299318847,17,17,1.0,-4.7223328037606205,2.416205992537121,0.0,0.4939203863742912,0.47795055288151184,0.9506079613625709,0.9334302716384326,0.961531841531168,0.9506079613625709,0.9506079613625709
T03,1359.59,30.0,ModeA_points,3,0.1297022487740007,0.14604668721701503,0.13787446799550784,8,8,1.0,-3.3021056412327354,2.016049622301537,0.0,0.5557120524155177,0.49191511477235583,0.9444287947584482,0.9301663442236018,0.9548021471458361,0.9444287947584482,0.9444287947584482
T03,1359.59,30.0,ModeB_holdout_points,3,0.1297022487740007,0.14604668721701503,0.13787446799550784,20,20,1.0,-4.567955474258694,2.3716325739292574,0.0,0.5086417891563164,0.47458049798577706,0.9491358210843683,0.9315283133168392,0.9611701521116583,0.9491358210843683,0.9491358210843683
T03,1359.59,30.0,ModeB_points,3,0.1297022487740007,0.14604668721701503,0.13787446799550784,34,34,1.0,-3.0430116573338943,1.5055827156669843,0.0,0.4983012177365256,0.46776172226041945,0.9501698782263475,0.9301319126698617,0.9695728145264972,0.9501698782263475,0.9501698782263475
T03,1359.59,30.0,ModeA_points,4,0.1462377570872365,0.15753367641722493,0.15188571675223073,8,8,1.0,-1.8765464400026695,1.2393176032869913,0.0,0.5366995638490932,0.488849372958465,0.9463300436150907,0.9321210534731851,0.9593793008033963,0.9463300436150907,0.9463300436150907
T03,1359.59,30.0,ModeB_holdout_points,4,0.1462377570872365,0.15753367641722493,0.15188571675223073,22,22,1.0,-1.6687713084945655,1.6825443814614274,0.0,0.5251587909273252,0.4726591898468,0.9474841209072675,0.9312320630439584,0.9579986743728538,0.9474841209072675,0.9474841209072675
T03,1359.59,30.0,ModeB_points,4,0.1462377570872365,0.15753367641722493,0.15188571675223073,28,28,1.0,-1.707853138670494,0.9722046491913321,0.0,0.5311941080890668,0.4729067411635387,0.9468805891910933,0.9233862487499694,0.9586152510459842,0.9468805891910933,0.9468805891910933
T03,1359.59,30.0,ModeA_points,5,0.15763554002288532,0.16476267201959655,0.16119910602124093,8,8,1.0,-0.6174910380900224,1.897849736628553,0.0,0.5132110856928587,0.4689884085364992,0.948678891430714,0.9314712965764655,0.9566582679275875,0.948678891430714,0.948678891430714
T03,1359.59,30.0,ModeB_holdout_points,5,0.15763554002288532,0.16476267201959655,0.16119910602124093,23,23,1.0,-2.1673227642194575,1.1276647173218703,0.0,0.4970121535731269,0.4620877362794258,0.9502987846426874,0.9296337616154257,0.956908512480485,0.9502987846426874,0.9502987846426874
T03,1359.59,30.0,ModeB_points,5,0.15763554002288532,0.16476267201959655,0.16119910602124093,19,19,1.0,-1.8439872033096054,1.251702394308718,0.0,0.5418966313983292,0.4864098337658868,0.945810336860167,0.9294146424062406,0.9566410383426912,0.945810336860167,0.945810336860167
T03,1359.59,30.0,ModeA_points,6,0.16477966949564207,0.17123021803557678,0.16800494376560943,8,8,1.0,-1.4042243557729623,0.6703657829763059,0.0,0.47924816098309464,0.4529010971170856,0.9520751839016905,0.9327212508716598,0.9568007136291063,0.9520751839016905,0.9520751839016905
T03,1359.59,30.0,ModeB_holdout_points,6,0.16477966949564207,0.17123021803557678,0.16800494376560943,17,17,1.0,-2.2746106853619628,1.8731047354890853,0.0,0.5116482941592169,0.4738223759322806,0.9488351705840783,0.930968948519183,0.9568290171528263,0.9488351705840783,0.9488351705840783
T03,1359.59,30.0,ModeB_points,6,0.16477966949564207,0.17123021803557678,0.16800494376560943,20,20,1.0,-2.6804658226733897,1.0837455255380335,0.0,0.496671705277912,0.4611387212980107,0.9503328294722089,0.9293791436192944,0.9605924630360647,0.9503328294722089,0.9503328294722089
T03,1359.59,30.0,ModeA_points,7,0.17128527336287389,1.0,0.5856426366814369,238,238,1.0,-2.0635868202860648,1.438977160847054,0.0,0.5027949289903824,0.45221091004131664,0.9497205071009618,0.9289417514077399,0.9667570534616026,0.9497205071009618,0.9497205071009618
T03,1359.59,30.0,ModeB_holdout_points,7,0.17128527336287389,1.0,0.5856426366814369,207,207,1.0,-2.4473284600272875,1.6426247620988632,0.0,0.49285262241249794,0.4544071823308479,0.9507147377587502,0.9254898552734326,0.9636407632809988,0.9507147377587502,0.9507147377587502
T03,1359.59,30.0,ModeB_points,7,0.17128527336287389,1.0,0.5856426366814369,171,171,1.0,-3.51902488599832,2.240850573863694,0.0,0.4792486947143143,0.4576331502317221,0.9520751305285685,0.9298278787571372,0.9660242221668218,0.9520751305285685,0.9520751305285685
T04,1359.68,30.0,ModeA_points,0,0.0,0.04519434631647317,0.022597173158236585,8,8,1.0,12.208412724124383,0.5897177098781059,0.0,0.3683870190301469,0.38693339470264654,0.9631612980969853,0.9338238221318051,1.0,0.9631612980969853,0.9631612980969853
T04,1359.68,30.0,ModeB_holdout_points,0,0.0,0.04519434631647317,0.022597173158236585,20,20,1.0,12.61912464975301,0.5401338375023359,0.0,0.3483497342534441,0.34450912900728053,0.9651650265746555,0.9543378670253889,0.9818098623782892,0.9651650265746555,0.9651650265746555
T04,1359.68,30.0,ModeB_points,0,0.0,0.04519434631647317,0.022597173158236585,20,20,1.0,12.543673865992506,0.25509852865586513,0.0,0.3508643291365979,0.34198697300032943,0.9649135670863404,0.9355215046379173,0.983307549644656,0.9649135670863404,0.9649135670863404
T04,1359.68,30.0,ModeA_points,1,0.049814001013434805,0.1110307180458106,0.0804223595296227,30,30,1.0,11.630340152571318,1.733223155165729,0.0,0.4006119975723482,0.37111337819831963,0.9599388002427652,0.9333610067603135,0.9888109027505366,0.9599388002427652,0.9599388002427652
T04,1359.68,30.0,ModeB_holdout_points,1,0.049814001013434805,0.1110307180458106,0.0804223595296227,8,8,1.0,10.581222544261543,1.4604513341674465,0.0,0.42557292032518157,0.4042147303465622,0.9574427079674819,0.9392358509423171,0.968813450134761,0.9574427079674819,0.9574427079674819
T04,1359.68,30.0,ModeB_points,1,0.049814001013434805,0.1110307180458106,0.0804223595296227,12,12,1.0,12.08566853167775,1.4466097908536089,0.0,0.4094976365586212,0.3867986444147536,0.9590502363441379,0.9386904489480205,0.9748225376414507,0.9590502363441379,0.9590502363441379
T04,1359.68,30.0,ModeA_points,2,0.11165183066195762,0.12907862920181176,0.1203652299318847,8,8,1.0,10.114315166084394,2.0882483826975413,0.0,0.462983476944535,0.4291985667234458,0.9537016523055465,0.9368966270357295,0.9693901365708016,0.9537016523055465,0.9537016523055465
T04,1359.68,30.0,ModeB_holdout_points,2,0.11165183066195762,0.12907862920181176,0.1203652299318847,8,8,1.0,8.888400755404643,1.6103175000346543,0.0,0.49753124292839024,0.5494930758034393,0.9502468757071609,0.9378174947666149,0.9693444872726182,0.9502468757071609,0.9502468757071609
