target_label,target_mz,g_bin,g_center,baseline,compare,delta_p_success_occ,delta_x_occ_mean,delta_gate_occ_factor_mean
T03,1359.59,5,0.16119910602124093,ModeA_points,ModeB_points,-0.0028685545705470217,0.02868554570547055,-0.0028685545705470217
T03,1359.59,6,0.16800494376560943,ModeA_points,ModeB_holdout_points,-0.003240013317612256,0.032400133176122226,-0.003240013317612256
T03,1359.59,6,0.16800494376560943,ModeA_points,ModeB_points,-0.001742354429481674,0.01742354429481735,-0.001742354429481674
T03,1359.59,7,0.5856426366814369,ModeA_points,ModeB_holdout_points,0.0009942306577883642,-0.009942306577884419,0.0009942306577883642
T03,1359.59,7,0.5856426366814369,ModeA_points,ModeB_points,0.002354623427606728,-0.023546234276068057,0.002354623427606728
T04,1359.68,0,0.022597173158236585,ModeA_points,ModeB_holdout_points,0.0020037284776702746,-0.0200372847767028,0.0020037284776702746
T04,1359.68,0,0.022597173158236585,ModeA_points,ModeB_points,0.0017522689893550991,-0.01752268989354905,0.0017522689893550991
T04,1359.68,1,0.0804223595296227,ModeA_points,ModeB_holdout_points,-0.002496092275283357,0.024960922752833348,-0.002496092275283357
T04,1359.68,1,0.0804223595296227,ModeA_points,ModeB_points,-0.0008885638986273481,0.008885638986272981,-0.0008885638986273481
T04,1359.68,2,0.1203652299318847,ModeA_points,ModeB_holdout_points,-0.003454776598385556,0.03454776598385523,-0.003454776598385556
T04,1359.68,2,0.1203652299318847,ModeA_points,ModeB_points,-0.0015807959638242108,0.015807959638242775,-0.0015807959638242108
T04,1359.68,3,0.13787446799550784,ModeA_points,ModeB_holdout_points,-0.0031464027759130486,0.03146402775913032,-0.0031464027759130486
T04,1359.68,3,0.13787446799550784,ModeA_points,ModeB_points,0.0010894097001723502,-0.01089409700172389,0.0010894097001723502
T04,1359.68,4,0.15188571675223073,ModeA_points,ModeB_holdout_points,4.514273458444684e-05,-0.0004514273458452456,4.514273458444684e-05
T04,1359.68,4,0.15188571675223073,ModeA_points,ModeB_points,-0.0024557297019172086,0.02455729701917231,-0.0024557297019172086
T04,1359.68,5,0.16119910602124093,ModeA_points,ModeB_holdout_points,-0.010612277558889716,0.1061227755888961,-0.010612277558889716
T04,1359.68,5,0.16119910602124093,ModeA_points,ModeB_points,-0.006759126104794788,0.06759126104794716,-0.006759126104794788
T04,1359.68,6,0.16800494376560943,ModeA_points,ModeB_holdout_points,0.00720496843139018,-0.0720496843139023,0.00720496843139018
T04,1359.68,6,0.16800494376560943,ModeA_points,ModeB_points,0.001338287519984327,-0.013382875199843602,0.001338287519984327
T04,1359.68,7,0.5856426366814369,ModeA_points,ModeB_holdout_points,-0.0037122306645299696,0.037122306645298864,-0.0037122306645299696
T04,1359.68,7,0.5856426366814369,ModeA_points,ModeB_points,-0.007902320641354876,0.07902320641354915,-0.007902320641354876
T05,816.22,0,0.0,ModeA_points,ModeB_holdout_points,0.0002840468363289883,-0.002840468363290216,0.0002840468363289883
T05,816.22,0,0.0,ModeA_points,ModeB_points,-0.0010201750067351245,0.010201750067351467,-0.0010201750067351245
T05,816.22,1,0.0,ModeA_points,ModeB_holdout_points,-0.00022680301273170222,0.0022680301273175774,-0.00022680301273170222
T05,816.22,1,0.0,ModeA_points,ModeB_points,-0.0008782993383031901,0.008782993383033566,-0.0008782993383031901
T05,816.22,2,0.0003820127031080915,ModeA_points,ModeB_holdout_points,-0.0008230005009796093,0.008230005009796981,-0.0008230005009796093
T05,816.22,2,0.0003820127031080915,ModeA_points,ModeB_points,-0.001292935349922253,0.01292935349922264,-0.001292935349922253
