galaxy,r_kpc,v_obs_kms,e_v_kms,v_gas_kms,v_disk_kms,v_bul_kms,ups_disk,ups_bulge,v_bar_kms,g_obs_mps2,g_bar_mps2,sigma_log10_gobs,env_scale
NGC3198_rotmod,2.24,82.0,8.09,-0.47,87.04,0.0,0.5,0.7,61.54836878423343,9.728124974207102e-11,5.4806810774990786e-11,0.08569371606334895,24.73404444444444
NGC3198_rotmod,2.57,86.9,7.6,-0.95,88.91,0.0,0.5,0.7,62.876041144461375,9.522607505821386e-11,4.985247339377745e-11,0.07596405207053425,24.73404444444444
NGC3198_rotmod,2.89,97.6,3.03,-1.43,88.98,0.0,0.5,0.7,62.93460971516388,1.068196737862199e-10,4.441510555859529e-11,0.026965415577189608,24.73404444444444
NGC3198_rotmod,3.21,100.0,5.31,-1.14,93.81,0.0,0.5,0.7,66.34348234755242,1.0095885636898334e-10,4.443661307005128e-11,0.04612207397812534,24.73404444444444
NGC3198_rotmod,3.54,107.0,7.51,-0.39,101.22,0.0,0.5,0.7,71.57441093016415,1.0481266125663427e-10,4.6898802912460925e-11,0.06096358054380226,24.73404444444444
NGC3198_rotmod,3.85,113.0,7.32,0.36,108.53,0.0,0.5,0.7,76.74314334192991,1.0748444349848076e-10,4.9575590116920654e-11,0.05626611694746555,24.73404444444444
NGC3198_rotmod,4.17,117.0,5.21,1.52,115.51,0.0,0.5,0.7,81.69204643048184,1.0638615753765927e-10,5.186482905657964e-11,0.03867819231993063,24.73404444444444
NGC3198_rotmod,4.5,119.0,5.67,3.07,120.51,0.0,0.5,0.7,85.26872199112638,1.0198372337293702e-10,5.2362026801300225e-11,0.04138570945195694,24.73404444444444
NGC3198_rotmod,4.82,127.0,5.39,4.63,125.42,0.0,0.5,0.7,88.80610958712244,1.0844508124366838e-10,5.30259070741974e-11,0.03686373633792956,24.73404444444444
NGC3198_rotmod,5.15,132.0,4.34,6.02,129.4,0.0,0.5,0.7,91.69743944080446,1.0964531716364779e-10,5.2912300367498075e-11,0.02855815229485019,24.73404444444444
NGC3198_rotmod,5.46,134.0,2.36,7.16,133.15,0.0,0.5,0.7,94.42312666926468,1.065777159730092e-10,5.291923612788105e-11,0.015297536974502599,24.73404444444444
NGC3198_rotmod,5.78,137.0,0.89,8.31,136.45,0.0,0.5,0.7,96.84191938411794,1.0523561675360083e-10,5.258336724721164e-11,0.005642658232027651,24.73404444444444
NGC3198_rotmod,6.1,140.0,2.84,9.46,139.41,0.0,0.5,0.7,99.03062985763546,1.0412995749690091e-10,5.2102516801215146e-11,0.017619947551503357,24.73404444444444
NGC3198_rotmod,6.43,142.0,0.88,10.61,141.85,0.0,0.5,0.7,100.8626955320945,1.0162841927271568e-10,5.1274286137370434e-11,0.0053828048461248106,24.73404444444444
NGC3198_rotmod,6.74,144.0,1.23,11.77,142.32,0.0,0.5,0.7,101.32139014048316,9.970445006812812e-11,4.936189657005448e-11,0.007419197399180551,24.73404444444444
NGC3198_rotmod,7.06,146.0,1.57,12.87,140.94,0.0,0.5,0.7,100.48720664840873,9.784766477874801e-11,4.6351767708815157e-11,0.009340305980658978,24.73404444444444
NGC3198_rotmod,8.04,147.0,3.0,16.39,135.68,0.0,0.5,0.7,97.33017671822034,8.710198963383494e-11,3.8184616204184636e-11,0.017726305383806193,24.73404444444444
NGC3198_rotmod,9.04,148.0,3.0,20.03,130.79,0.0,0.5,0.7,94.62670315508197,7.852436897786436e-11,3.210025208145413e-11,0.01760653305013183,24.73404444444444
NGC3198_rotmod,10.04,152.0,2.0,23.68,128.1,0.0,0.5,0.7,93.62450213485782,7.457665807103846e-11,2.829402836111842e-11,0.01142880215534873,24.73404444444444
NGC3198_rotmod,11.04,155.0,2.0,27.08,126.67,0.0,0.5,0.7,93.57334476227726,7.052511089574355e-11,2.5703051621067556e-11,0.011207599532987143,24.73404444444444
NGC3198_rotmod,12.05,156.0,2.0,30.11,124.98,0.0,0.5,0.7,93.36279933678082,6.545029442980752e-11,2.3442835365938606e-11,0.011135755946237225,24.73404444444444
NGC3198_rotmod,14.05,157.0,2.0,34.48,118.12,0.0,0.5,0.7,90.36059760758558,5.685549374057947e-11,1.8833512278729195e-11,0.011064827564414058,24.73404444444444
NGC3198_rotmod,16.07,153.0,2.0,36.43,108.22,0.0,0.5,0.7,84.75216280426123,4.720809109309468e-11,1.448555560972449e-11,0.0113541041020458,24.73404444444444
NGC3198_rotmod,18.13,153.0,2.0,37.76,101.1,0.0,0.5,0.7,80.84814530958641,4.18441270747949e-11,1.1684006061299551e-11,0.0113541041020458,24.73404444444444
NGC3198_rotmod,20.05,154.0,2.0,39.83,96.4,0.0,0.5,0.7,78.94877389801567,3.8333327495492554e-11,1.0074554651428161e-11,0.011280376153331216,24.73404444444444
NGC3198_rotmod,22.12,153.0,2.0,40.92,91.56,0.0,0.5,0.7,76.59022914184288,3.4296294026493283e-11,8.594311089119228e-12,0.0113541041020458,24.73404444444444
NGC3198_rotmod,24.03,150.0,2.0,41.77,87.03,0.0,0.5,0.7,74.3763628446565,3.0344375369329255e-11,7.46045915985457e-12,0.011581186184086715,24.73404444444444
NGC3198_rotmod,26.1,149.0,2.0,43.71,82.67,0.0,0.5,0.7,72.99129091884866,2.7566490806495916e-11,6.615322737402857e-12,0.011658912265859108,24.73404444444444
NGC3198_rotmod,28.16,148.0,2.0,45.41,79.06,0.0,0.5,0.7,72.02298174888347,2.5208107086643953e-11,5.969789237162544e-12,0.011737688700087887,24.73404444444444
NGC3198_rotmod,30.08,146.0,2.0,45.29,76.07,0.0,0.5,0.7,70.31718531056259,2.2965575576394977e-11,5.327145752580456e-12,0.011898478956253473,24.73404444444444
NGC3198_rotmod,32.14,147.0,2.0,44.56,73.27,0.0,0.5,0.7,68.33622794682188,2.1789047811326474e-11,4.708749508107603e-12,0.011817536922537463,24.73404444444444
NGC3198_rotmod,34.06,148.0,2.0,44.81,70.91,0.0,0.5,0.7,67.2461905984272,2.084146493129459e-11,4.302691271858127e-12,0.011737688700087887,24.73404444444444
NGC3198_rotmod,36.12,148.0,2.0,45.9,68.62,0.0,0.5,0.7,66.79193214752813,1.9652832102987093e-11,4.002669453104116e-12,0.011737688700087887,24.73404444444444
NGC3198_rotmod,38.19,149.0,2.0,46.75,66.59,0.0,0.5,0.7,66.35266799458783,1.8839628438060843e-11,3.7360835248395835e-12,0.011658912265859108,24.73404444444444
NGC3198_rotmod,40.1,150.0,2.0,47.48,64.84,0.0,0.5,0.7,66.0035089976283,1.818392369388983e-11,3.52078197351285e-12,0.011581186184086715,24.73404444444444
NGC3198_rotmod,42.17,150.0,3.0,48.93,63.1,0.0,0.5,0.7,66.21895423517348,1.7291328909769553e-11,3.369849376611605e-12,0.01737177927613007,24.73404444444444
NGC3198_rotmod,44.08,149.0,3.0,47.84,61.63,0.0,0.5,0.7,64.71316751635636,1.6322264293319954e-11,3.078882991310876e-12,0.017488368398788662,24.73404444444444
NGC3521_rotmod,0.51,143.0,33.1,-3.74,195.66,0.0,0.5,0.7,138.40305415705248,1.2994254056832907e-09,1.2172243353182501e-09,0.2010510119020648,47.8864
NGC3521_rotmod,0.69,160.0,15.0,-4.96,213.36,0.0,0.5,0.7,150.94981417676541,1.2023760841996488e-09,1.0702014363127606e-09,0.08143021535685971,47.8864
NGC3521_rotmod,0.86,178.0,7.92,-6.2,228.63,0.0,0.5,0.7,161.78466691871637,1.1939633837994799e-09,9.86337901359418e-10,0.0386473291761096,47.8864
NGC3521_rotmod,1.03,188.0,8.01,-7.39,242.31,0.0,0.5,0.7,171.49833862169044,1.1120592544283655e-09,9.254054747367177e-10,0.03700743404303242,47.8864
NGC3521_rotmod,1.2,187.0,8.03,-8.46,244.99,0.0,0.5,0.7,173.44054211746456,9.443900914381667e-10,8.123991369685101e-10,0.03729823197522045,47.8864
NGC3521_rotmod,1.38,195.0,5.6,-9.15,248.08,0.0,0.5,0.7,175.65752389237417,8.929755976892899e-10,7.246092629322461e-10,0.02494409331957138,47.8864
NGC3521_rotmod,1.55,199.0,7.52,-9.58,251.75,0.0,0.5,0.7,178.27172420212915,8.279877460728148e-10,6.644811821544197e-10,0.03282306034082867,47.8864
NGC3521_rotmod,1.71,203.0,6.87,-9.77,258.35,0.0,0.5,0.7,182.94210600624453,7.809899049047536e-10,6.342795260835854e-10,0.029395104341628963,47.8864
NGC3521_rotmod,1.89,206.0,9.22,-9.95,262.92,0.0,0.5,0.7,186.17858550327426,7.276492588722809e-10,5.943566188446332e-10,0.038875680807261954,47.8864
NGC3521_rotmod,2.06,211.0,12.0,-9.95,270.25,0.0,0.5,0.7,191.35447146591585,7.004016249774398e-10,5.760490496516535e-10,0.04939842448188646,47.8864
NGC3521_rotmod,2.23,219.0,13.3,-9.95,275.1,0.0,0.5,0.7,194.77938160903994,6.970000695113956e-10,5.513540348344147e-10,0.05274992337272374,47.8864
NGC3521_rotmod,2.41,216.0,9.9,-10.14,276.83,0.0,0.5,0.7,196.01082635915805,6.273933548892792e-10,5.166453577287888e-10,0.03981032750779808,47.8864
NGC3521_rotmod,2.58,214.0,10.5,-10.6,274.55,0.0,0.5,0.7,194.4253359261596,5.752508850364114e-10,4.748270640888036e-10,0.04261768280359013,47.8864
NGC3521_rotmod,2.75,213.0,8.39,-11.16,274.06,0.0,0.5,0.7,194.1107606496868,5.346578748465505e-10,4.4403375277510966e-10,0.03421343383256604,47.8864
NGC3521_rotmod,2.92,210.0,13.3,-11.53,273.74,0.0,0.5,0.7,193.90651020530487,4.894464611797825e-10,4.173028818642556e-10,0.0550106343744119,47.8864
NGC3521_rotmod,3.09,214.0,6.67,-11.25,275.23,0.0,0.5,0.7,194.94188608403275,4.80306564205159e-10,3.985669677009868e-10,0.02707237564761392,47.8864
NGC3521_rotmod,3.26,213.0,9.98,-9.77,276.33,0.0,0.5,0.7,195.6389208465432,4.510150784748509e-10,3.804892331162861e-10,0.04069726694267092,47.8864
NGC3521_rotmod,3.43,212.0,11.2,-7.06,278.46,0.0,0.5,0.7,197.02748386963682,4.2464601861454095e-10,3.6678279632444173e-10,0.045887718842607735,47.8864
NGC3521_rotmod,3.61,215.0,9.11,2.4,278.97,0.0,0.5,0.7,197.27617811078966,4.149723619240049e-10,3.493747738482677e-10,0.036803932373382545,47.8864
NGC3521_rotmod,3.78,217.0,10.1,7.87,280.87,0.0,0.5,0.7,198.76095026438168,4.0371707926096747e-10,3.3870357745191076e-10,0.04042741260113219,47.8864
NGC3521_rotmod,3.95,219.0,8.05,10.51,281.76,0.0,0.5,0.7,199.511425487364,3.9349624177478785e-10,3.2657873494534365e-10,0.031927585199280156,47.8864
NGC3521_rotmod,4.12,220.0,8.29,12.28,282.78,0.0,0.5,0.7,200.33238030832658,3.8071290681822156e-10,3.1568543227197623e-10,0.032730011408890515,47.8864
NGC3521_rotmod,4.29,218.0,8.42,13.95,281.57,0.0,0.5,0.7,199.58816335143726,3.5900884604091846e-10,3.0092739527265325e-10,0.03354825263876496,47.8864
NGC3521_rotmod,4.46,220.0,9.71,15.63,279.92,0.0,0.5,0.7,198.54949030405493,3.5168994979620466e-10,2.864521914677685e-10,0.03833635835709614,47.8864
NGC3521_rotmod,4.64,220.0,20.1,17.49,276.26,0.0,0.5,0.7,196.12672918294436,3.3804680519204153e-10,2.686612589336777e-10,0.0793574462386851,47.8864
