sqrts_GeV,t,F_re,F_im,rho_pred,chiI_min,chiI_max,S_abs_max,sigma_tot_data_mb,sigma_tot_resid_mb,sigma_tot_pred_mb_sm,sigma_tot_pred_mb_geo,obs,pred_sm,pred_geo,resid_sm,resid_geo,var_diag,chi2_contrib_sm_diag,chi2_contrib_geo_diag,dchi2_contrib_diag
1800.0,14.991083887768513,3.9325151081427214,87.17839177683729,0.0451088283230703,0.0004330421836427,3.1097681120438394,0.9995670515655908,71.71,-15.468391776837294,87.17839177683729,87.06299047847476,71.71,87.17839177683729,87.06299047847476,-15.468391776837294,-15.352990478474766,4.0804,58.63913933970386,57.76745334578395,0.8716859939199111
1800.0,14.991083887768513,3.9325151081427214,87.17839177683729,0.0451088283230703,0.0004330421836427,3.1097681120438394,0.9995670515655908,72.8,-14.37839177683729,87.17839177683729,87.06299047847476,72.8,87.17839177683729,87.06299047847476,-14.37839177683729,-14.262990478474762,9.61,21.512814785454964,21.168875898965844,0.34393888648911997
900.0,13.604789526648622,3.707767099505454,79.90534820643967,0.0464019891375261,0.0002547211267015,2.924750027612849,0.9997453113119704,65.3,-14.605348206439672,79.90534820643967,78.80292037996686,65.3,79.90534820643967,78.80292037996686,-14.605348206439672,-13.502920379966866,5.29,40.32442272804358,34.46670298444698,5.857719743596597
546.0,12.60523795148981,3.543616807538577,74.75832794242385,0.0474009639470233,0.0001679728613271,2.791216546507113,0.999832041245324,61.26,-13.498327942423847,74.75832794242385,74.11059425838717,61.26,74.75832794242385,74.11059425838717,-13.498327942423849,-12.850594258387169,0.8649,210.66580788671575,190.93279314798622,19.733014738729537
546.0,12.60523795148981,3.543616807538577,74.75832794242385,0.0474009639470233,0.0001679728613271,2.791216546507113,0.999832041245324,61.9,-12.858327942423848,74.75832794242385,74.11059425838717,61.9,74.75832794242385,74.11059425838717,-12.858327942423848,-12.210594258387168,2.25,73.48293221107463,66.26604984131453,7.2168823697601
200.0,10.596634733096073,3.208610412487011,64.6800302094238,0.0496074352794523,6.577863136343097e-05,2.5220542603895413,0.9999342235320032,41.6,-23.080030209423803,64.6800302094238,65.59969204109625,41.6,64.6800302094238,65.59969204109625,-23.080030209423803,-23.999692041096246,1.44,369.9220794916079,399.98973476906843,-30.067655277460517
62.5,8.270333113484712,2.813692039378631,53.4761154572877,0.0526158643969937,1.802599722507064e-05,2.2060318614313177,0.9999819741652424,43.55,-9.9261154572877,53.4761154572877,53.05896194955199,43.55,53.4761154572877,53.05896194955199,-9.9261154572877,-9.508961949551995,0.0961,1025.2629351863247,940.8986197505482,84.36431543577658
62.3,8.263922851586814,2.812597495577659,53.44593352987701,0.0526250981097631,1.7955154233570563e-05,2.205147140366724,0.9999820450069592,44.0,-9.44593352987701,53.44593352987701,53.02426480597465,44.0,53.44593352987701,53.02426480597465,-9.44593352987701,-9.024264805974653,0.81,110.15513611216635,100.53994480043546,9.615191311730882
52.8,7.933022381424432,2.7561243842127725,51.89293198470399,0.0531117491111346,1.4607602651963666e-05,2.159312834883788,0.9999853925040384,42.38,-9.512931984703982,51.89293198470399,51.269770208772805,42.38,51.89293198470399,51.269770208772805,-9.51293198470399,-8.889770208772802,0.0225,4022.0388864712972,3512.356193990419,509.68269248087836
44.7,7.599947003239047,2.6993035880909613,50.33906106323772,0.0536224460901247,1.179313719865783e-05,2.112796940291311,0.99998820693234,41.8,-8.539061063237718,50.33906106323772,49.58808798853234,41.8,50.33906106323772,49.58808798853234,-8.539061063237725,-7.7880879885323395,0.0625,1166.6490214672413,970.4690322739473,196.17998919329398
30.6,6.842000017916671,2.570368598137473,46.8342081662879,0.0548822900776119,7.065129563221899e-06,2.0050432986038462,0.9999929348953948,40.15,-6.684208166287903,46.8342081662879,46.11630675874309,40.15,46.8342081662879,46.11630675874309,-6.6842081662879025,-5.9663067587430945,0.04,1116.965970256747,889.9204084855882,227.04556177115876
23.5,6.314000842300227,2.4811884670343933,44.41275576135121,0.055866573116221,4.8346471630539724e-06,1.9278153713420267,0.9999951653645238,39.1,-5.312755761351205,44.41275576135121,43.95182245233429,39.1,44.41275576135121,43.95182245233429,-5.312755761351205,-4.851822452334289,0.0625,451.6059804763268,376.6428977436019,74.9630827327249
