pair_shell,shell_offset,target_a,target_b,mz_a,mz_b,delta_mz,mean_mz,overlap_proxy,corridor_proxy,rejection_proxy,leak_reduction_proxy,effective_leak_ratio,sep_s0_used,sep_norm,stable_margin,reject_margin,leak_margin,nearest_stable_boundary_margin,stable_margin_norm,repulsive_corridor_margin,repulsive_reject_margin,repulsive_margin,repulsive_margin_norm,nearest_threshold_gap,classification,boundary_confidence,repulsive_delta_ref_median,repulsive_delta_over_median,repulsive_distance_rank_desc,repulsive_proximity_rank_asc,repulsive_geom_bucket,repulsive_tiebreak_active,weak_stable_delta_ref_median,weak_stable_delta_over_median,weak_stable_compactness_rank_asc,weak_stable_edge_rank_desc,weak_stable_geom_bucket,weak_stable_tiebreak_active
adjacent,1,T10,T11,1359.9094342305789,1529.5291052067305,169.6196709761516,1444.7192697186547,2.1632806857091175e-74,2.1632806857091175e-74,1.0,1.0816403428545588e-74,1.0,0.1100000000001273,0.9993519106036823,-0.25,-0.25,-0.09999999999999998,-0.25,-0.3333333333333333,0.25,0.25,0.25,1.0,0.09999999999999998,REPULSIVE,STRONG_REPULSIVE,169.6739533677436,0.9996800782293654,5.0,4.0,MID_REPULSIVE,1,,,,,,0
next_nearest,2,T09,T08,816.1508423429284,816.2833460688211,0.13250372589266135,816.2170942058747,0.8758996705919687,0.8758996705919687,0.12410032940803128,0.43794983529598436,0.5620501647040157,0.1100000000001273,0.5463987219365095,0.6258996705919687,0.6258996705919687,0.3379498352959843,0.3379498352959843,0.45059978039464577,-0.6258996705919687,-0.6258996705919687,-0.6258996705919687,-2.503598682367875,0.3379498352959843,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,,,,,,0,,,,,,0
next_nearest,2,T05,T12,816.2170287663264,816.3496492904699,0.13262052414347636,816.2833390283981,0.8757973730167593,0.8757973730167593,0.1242026269832407,0.43789868650837965,0.5621013134916204,0.1100000000001273,0.5466170869574914,0.6257973730167593,0.6257973730167593,0.3378986865083796,0.3378986865083796,0.4505315820111728,-0.6257973730167593,-0.6257973730167593,-0.6257973730167593,-2.5031894920670372,0.3378986865083796,STABLE-INTERMEDIATE-CANDIDATE,WEAK_STABLE,,,,,,0,0.2208275444680794,0.6005615126633201,1.0,4.0,DEEP_WEAK_STABLE,1
next_nearest,2,T08,T07,816.2833460688211,874.3731676781169,58.08982160929588,845.328256873469,5.914404455251452e-26,5.914404455251452e-26,1.0,2.957202227625726e-26,1.0,0.1100000000001273,0.9981099598425134,-0.25,-0.25,-0.09999999999999998,-0.25,-0.3333333333333333,0.25,0.25,0.25,1.0,0.09999999999999998,REPULSIVE,STRONG_REPULSIVE,169.6739533677436,0.34236145534603446,7.0,2.0,NEAR_THRESHOLD,1,,,,,,0
next_nearest,2,T12,T06,816.3496492904699,874.445628282081,58.095978991611105,845.3976387862754,5.878099093554414e-26,5.878099093554414e-26,1.0,2.939049546777207e-26,1.0,0.1100000000001273,0.9981101597824515,-0.25,-0.25,-0.09999999999999998,-0.25,-0.3333333333333333,0.25,0.25,0.25,1.0,0.09999999999999998,REPULSIVE,STRONG_REPULSIVE,169.6739533677436,0.3423977448424068,6.0,3.0,MID_REPULSIVE,1,,,,,,0
next_nearest,2,T07,T02,874.3731676781169,1359.4677308255318,485.0945631474149,1116.9204492518243,2.118888109249375e-211,2.118888109249375e-211,1.0,1.0594440546246874e-211,1.0,0.1100000000001273,0.9997732914973293,-0.25,-0.25,-0.09999999999999998,-0.25,-0.3333333333333333,0.25,0.25,0.25,1.0,0.09999999999999998,REPULSIVE,STRONG_REPULSIVE,169.6739533677436,2.858980730507546,2.0,7.0,FAR_GEOMETRY,1,,,,,,0
next_nearest,2,T06,T03,874.445628282081,1359.5761916327867,485.13056335070576,1117.0109099574338,2.0439644320448414e-211,2.0439644320448414e-211,1.0,1.0219822160224207e-211,1.0,0.1100000000001273,0.9997733083169293,-0.25,-0.25,-0.09999999999999998,-0.25,-0.3333333333333333,0.25,0.25,0.25,1.0,0.09999999999999998,REPULSIVE,STRONG_REPULSIVE,169.6739533677436,2.859192903340066,1.0,8.0,FAR_GEOMETRY,1,,,,,,0
next_nearest,2,T02,T04,1359.4677308255318,1359.692456956251,0.2247261307190911,1359.5800938908915,0.7987349377708449,0.7987349377708449,0.20126506222915508,0.39936746888542246,0.6006325311145775,0.1100000000001273,0.671373131927965,0.5487349377708449,0.5487349377708449,0.29936746888542254,0.29936746888542254,0.3991566251805634,-0.5487349377708449,-0.5487349377708449,-0.5487349377708449,-2.1949397510833797,0.29936746888542254,STABLE-INTERMEDIATE-CANDIDATE,WEAK_STABLE,,,,,,0,0.2208275444680794,1.0176544382649477,4.0,1.0,NEAR_STABLE_EDGE,1
next_nearest,2,T03,T01,1359.5761916327867,1359.800869447395,0.22467781460818514,1359.6885305400908,0.7987735304689997,0.7987735304689997,0.20122646953100032,0.39938676523449984,0.6006132347655002,0.1100000000001273,0.6713256893682512,0.5487735304689997,0.5487735304689997,0.2993867652344998,0.2993867652344998,0.39918235364599974,-0.5487735304689997,-0.5487735304689997,-0.5487735304689997,-2.1950941218759987,0.2993867652344998,STABLE-INTERMEDIATE-CANDIDATE,WEAK_STABLE,,,,,,0,0.2208275444680794,1.0174356425933193,3.0,2.0,MID_WEAK_STABLE,1
next_nearest,2,T04,T10,1359.692456956251,1359.9094342305789,0.21697727432797365,1359.8009455934148,0.8049482620873452,0.8049482620873452,0.19505173791265484,0.4024741310436726,0.5975258689563274,0.1100000000001273,0.6635851827128839,0.5549482620873452,0.5549482620873452,0.3024741310436726,0.3024741310436726,0.40329884139156347,-0.5549482620873452,-0.5549482620873452,-0.5549482620873452,-2.2197930483493806,0.3024741310436726,STABLE-INTERMEDIATE-CANDIDATE,WEAK_STABLE,,,,,,0,0.2208275444680794,0.9825643574066807,2.0,3.0,MID_WEAK_STABLE,1
next_nearest,2,T01,T11,1359.800869447395,1529.5291052067305,169.72823575933558,1444.6649873270626,1.940724044428047e-74,1.940724044428047e-74,1.0,9.703620222140235e-75,1.0,0.1100000000001273,0.9993523248783861,-0.25,-0.25,-0.09999999999999998,-0.25,-0.3333333333333333,0.25,0.25,0.25,1.0,0.09999999999999998,REPULSIVE,STRONG_REPULSIVE,169.6739533677436,1.0003199217706347,4.0,5.0,MID_REPULSIVE,1,,,,,,0
